block,IntradayForecast_mw,BaseForecast,EffectiveBaseForecast,algo_schedule_mw,Metered_mw,Vedanjay_Schedule,Maximum tolerable schedule,Minimum tolerable schedule
1,0.0,0.0,0.0,0.0,,,,
2,0.0,0.0,0.0,0.0,,,,
3,0.0,0.0,0.0,0.0,,,,
4,0.0,0.0,0.0,0.0,,,,
5,0.0,0.0,0.0,0.0,,,,
6,0.0,0.0,0.0,0.0,,,,
7,0.0,0.0,0.0,0.0,,,,
8,0.0,0.0,0.0,0.0,,,,
9,0.0,0.0,0.0,0.0,,,,
10,0.0,0.0,0.0,0.0,,,,
11,0.0,0.0,0.0,0.0,,,,
12,0.0,0.0,0.0,0.0,,,,
13,0.0,0.0,0.0,0.0,,,,
14,0.0,0.0,0.0,0.0,,,,
15,0.0,0.0,0.0,0.0,,,,
16,0.0,0.0,0.0,0.0,,,,
17,0.0,0.0,0.0,0.0,,,,
18,0.0,0.0,0.0,0.0,,,,
19,0.0,0.0,0.0,0.0,,,,
20,0.0,0.0,0.0,0.0,,,,
21,0.0,0.0,0.0,0.0,,,,
22,0.0,0.0,0.0,0.0,,,,
23,0.0,0.0,0.0,0.0,,,,
24,0.0,0.0,0.0,0.0,-0.005318,,0.504682,-0.515318
25,0.0,0.0,0.0,0.0,-0.005405333333333333,,0.5045946666666666,-0.5154053333333334
26,0.0,0.0,0.0,0.0,0.0042525,,0.5142525,-0.5057475
27,0.01,0.0,0.0,0.0,0.0294625,,0.5394625,-0.4805375
28,0.12,0.0,0.0,0.0,0.15080600000000002,,0.660806,-0.359194
29,0.29,0.0,0.0,0.0,0.22135333333333332,,0.7313533333333333,-0.2886466666666667
30,0.51,0.0,0.0,0.0,0.3194073333333334,,0.8294073333333334,-0.19059266666666663
31,0.75,0.0,0.0,0.0,0.7067519999999998,,1.2167519999999998,0.19675199999999982
32,1.0,0.0,0.0,0.0,0.49563533333333326,,1.0056353333333332,-0.014364666666666748
33,1.28,1.449,1.449,1.593,0.8901233333333334,,1.4001233333333334,0.38012333333333337
34,1.58,1.774,1.774,1.951,1.28786,,1.79786,0.77786
35,1.87,2.078,2.078,2.23,1.559325,,2.069325,1.049325
36,2.15,2.372,2.372,2.546,1.8386875,,2.3486875,1.3286875
37,2.41,2.626,2.626,2.902,2.0968025,,2.6068024999999997,1.5868025
38,2.67,2.862,2.862,3.162,,,,
39,2.9,3.067,3.067,3.389,,,,
40,3.12,3.254,3.254,3.595,,,,
41,3.31,3.401,3.401,3.758,,,,
42,3.46,3.499,3.499,3.921,,,,
43,3.6,3.587,3.587,4.02,,,,
44,3.71,3.646,3.646,4.086,,,,
45,3.81,3.714,3.714,4.163,,,,
46,3.89,3.802,3.802,4.262,,,,
47,3.89,3.802,3.802,4.147,,,,
48,3.86,3.773,3.773,4.115,,,,
49,3.8,3.724,3.724,3.836,,,,
50,3.73,3.655,3.655,3.435,,,,
51,3.81,3.734,3.734,3.508,,,,
52,3.88,3.802,3.802,3.917,,,,
53,3.9,3.822,3.822,4.053,,,,
54,3.87,3.793,3.793,4.136,,,,
55,3.77,3.695,3.695,3.806,,,,
56,3.64,3.567,3.567,3.352,,,,
57,3.5,3.43,3.43,3.024,,,,
58,3.34,3.273,3.273,2.916,,,,
59,3.13,3.067,3.067,2.715,,,,
60,2.9,2.842,2.842,2.505,,,,
61,2.68,2.626,2.626,2.309,,,,
62,2.43,2.381,2.381,2.094,,,,
63,2.19,2.146,2.146,1.921,,,,
64,1.96,1.921,1.921,1.719,,,,
65,1.72,1.686,1.686,1.509,,,,
66,1.48,1.45,1.45,1.298,,,,
67,1.29,1.264,1.264,1.171,,,,
68,1.11,1.088,1.088,1.008,,,,
69,0.92,0.902,0.902,0.85,,,,
70,0.74,0.616,0.616,0.555,,,,
71,0.54,0.45,0.45,0.405,,,,
72,0.36,0.3,0.3,0.27,,,,
73,0.2,0.167,0.167,0.15,,,,
74,0.07,0.058,0.058,0.052,,,,
75,0.0,0.0,0.0,0.0,,,,
76,0.0,0.0,0.0,0.0,,,,
77,0.0,0.0,0.0,0.0,,,,
78,0.0,0.0,0.0,0.0,,,,
79,0.0,0.0,0.0,0.0,,,,
80,0.0,0.0,0.0,0.0,,,,
81,0.0,0.0,0.0,0.0,,,,
82,0.0,0.0,0.0,0.0,,,,
83,0.0,0.0,0.0,0.0,,,,
84,0.0,0.0,0.0,0.0,,,,
85,0.0,0.0,0.0,0.0,,,,
86,0.0,0.0,0.0,0.0,,,,
87,0.0,0.0,0.0,0.0,,,,
88,0.0,0.0,0.0,0.0,,,,
89,0.0,0.0,0.0,0.0,,,,
90,0.0,0.0,0.0,0.0,,,,
91,0.0,0.0,0.0,0.0,,,,
92,0.0,0.0,0.0,0.0,,,,
93,0.0,0.0,0.0,0.0,,,,
94,0.0,0.0,0.0,0.0,,,,
95,0.0,0.0,0.0,0.0,,,,
96,0.0,0.0,0.0,0.0,,,,
