block,timestamp,algo_schedule_mw,condition_used,BaseForecast,EffectiveBaseForecast,IntradayForecast_mw
1,2026-03-12 00:00:00,0.0,PRE_START,0.0,0.0,0.0
2,2026-03-12 00:15:00,0.0,PRE_START,0.0,0.0,0.0
3,2026-03-12 00:30:00,0.0,PRE_START,0.0,0.0,0.0
4,2026-03-12 00:45:00,0.0,PRE_START,0.0,0.0,0.0
5,2026-03-12 01:00:00,0.0,PRE_START,0.0,0.0,0.0
6,2026-03-12 01:15:00,0.0,PRE_START,0.0,0.0,0.0
7,2026-03-12 01:30:00,0.0,PRE_START,0.0,0.0,0.0
8,2026-03-12 01:45:00,0.0,PRE_START,0.0,0.0,0.0
9,2026-03-12 02:00:00,0.0,PRE_START,0.0,0.0,0.0
10,2026-03-12 02:15:00,0.0,PRE_START,0.0,0.0,0.0
11,2026-03-12 02:30:00,0.0,PRE_START,0.0,0.0,0.0
12,2026-03-12 02:45:00,0.0,PRE_START,0.0,0.0,0.0
13,2026-03-12 03:00:00,0.0,PRE_START,0.0,0.0,0.0
14,2026-03-12 03:15:00,0.0,PRE_START,0.0,0.0,0.0
15,2026-03-12 03:30:00,0.0,PRE_START,0.0,0.0,0.0
16,2026-03-12 03:45:00,0.0,PRE_START,0.0,0.0,0.0
17,2026-03-12 04:00:00,0.0,PRE_START,0.0,0.0,0.0
18,2026-03-12 04:15:00,0.0,PRE_START,0.0,0.0,0.0
19,2026-03-12 04:30:00,0.0,PRE_START,0.0,0.0,0.0
20,2026-03-12 04:45:00,0.0,PRE_START,0.0,0.0,0.0
21,2026-03-12 05:00:00,0.0,PRE_START,0.0,0.0,0.0
22,2026-03-12 05:15:00,0.0,PRE_START,0.0,0.0,0.0
23,2026-03-12 05:30:00,0.0,PRE_START,0.0,0.0,0.0
24,2026-03-12 05:45:00,0.0,PRE_START,0.0,0.0,0.0
25,2026-03-12 06:00:00,0.0,PRE_START,0.0,0.0,0.0
26,2026-03-12 06:15:00,0.0,PRE_START,0.0,0.0,0.0
27,2026-03-12 06:30:00,0.0,PRE_START,0.0,0.0,0.14
28,2026-03-12 06:45:00,0.0,PRE_START,0.0,0.0,0.58
29,2026-03-12 07:00:00,0.0,PRE_START,0.0,0.0,1.17
30,2026-03-12 07:15:00,1.676,CONDITION_3,1.676,1.676,1.99
