Block,Time,System Schedule (MW),Vedanjay Schedule (MW),Metered Actual (MW),Diff (MW),Abs Diff (MW),Diff % of System,System vs Metered (MW),Vedanjay vs Metered (MW)
1,00:00,0.000,0.000,0.000,0.000,0.000,,0.000,0.000
2,00:15,0.000,0.000,0.000,0.000,0.000,,0.000,0.000
3,00:30,0.000,0.000,0.000,0.000,0.000,,0.000,0.000
4,00:45,0.000,0.000,0.000,0.000,0.000,,0.000,0.000
5,01:00,0.000,0.000,0.000,0.000,0.000,,0.000,0.000
6,01:15,0.000,0.000,0.000,0.000,0.000,,0.000,0.000
7,01:30,0.000,0.000,0.000,0.000,0.000,,0.000,0.000
8,01:45,0.000,0.000,0.000,0.000,0.000,,0.000,0.000
9,02:00,0.000,0.000,0.000,0.000,0.000,,0.000,0.000
10,02:15,0.000,0.000,0.000,0.000,0.000,,0.000,0.000
11,02:30,0.000,0.000,0.000,0.000,0.000,,0.000,0.000
12,02:45,0.000,0.000,0.000,0.000,0.000,,0.000,0.000
13,03:00,0.000,0.000,0.000,0.000,0.000,,0.000,0.000
14,03:15,0.000,0.000,0.000,0.000,0.000,,0.000,0.000
15,03:30,0.000,0.000,0.000,0.000,0.000,,0.000,0.000
16,03:45,0.000,0.000,0.000,0.000,0.000,,0.000,0.000
17,04:00,0.000,0.000,0.000,0.000,0.000,,0.000,0.000
18,04:15,0.000,0.000,0.000,0.000,0.000,,0.000,0.000
19,04:30,0.000,0.000,0.000,0.000,0.000,,0.000,0.000
20,04:45,0.000,0.000,0.000,0.000,0.000,,0.000,0.000
21,05:00,0.000,0.000,0.000,0.000,0.000,,0.000,0.000
22,05:15,0.000,0.000,0.000,0.000,0.000,,0.000,0.000
23,05:30,0.000,0.000,0.000,0.000,0.000,,0.000,0.000
24,05:45,0.000,0.000,0.000,0.000,0.000,,0.000,0.000
25,06:00,0.000,0.000,0.000,0.000,0.000,,0.000,0.000
26,06:15,0.000,0.000,0.000,0.000,0.000,,0.000,0.000
27,06:30,0.000,0.000,0.018,0.000,0.000,,-0.018,-0.018
28,06:45,0.000,0.150,0.182,0.150,0.150,,-0.182,-0.032
29,07:00,0.000,0.690,0.553,0.690,0.690,,-0.553,0.137
30,07:15,1.676,1.410,1.075,-0.266,0.266,-15.87,0.601,0.335
31,07:30,2.756,2.230,1.786,-0.526,0.526,-19.09,0.970,0.444
32,07:45,3.589,3.250,2.570,-0.339,0.339,-9.45,1.019,0.680
33,08:00,4.469,4.370,3.483,-0.099,0.099,-2.22,0.986,0.887
34,08:15,5.401,5.520,4.378,0.119,0.119,2.20,1.023,1.142
35,08:30,6.182,6.640,5.309,0.458,0.458,7.41,0.873,1.331
36,08:45,6.996,7.730,6.165,0.734,0.734,10.49,0.831,1.565
37,09:00,7.724,8.790,6.950,1.066,1.066,13.80,0.774,1.840
38,09:15,8.411,9.770,7.730,1.359,1.359,16.16,0.681,2.040
39,09:30,9.059,10.680,8.395,1.621,1.621,17.89,0.664,2.285
40,09:45,9.666,11.530,9.037,1.864,1.864,19.28,0.629,2.493
41,10:00,10.206,12.300,9.584,2.094,2.094,20.52,0.622,2.716
42,10:15,10.616,12.960,10.083,2.344,2.344,22.08,0.533,2.877
43,10:30,10.953,13.540,10.530,2.587,2.587,23.62,0.423,3.010
44,10:45,11.213,14.040,10.900,2.827,2.827,25.21,0.313,3.140
45,11:00,11.442,14.480,11.238,3.038,3.038,26.55,0.204,3.242
46,11:15,11.622,14.860,11.533,3.238,3.238,27.86,0.089,3.327
47,11:30,11.752,14.270,11.728,2.518,2.518,21.43,0.024,2.542
48,11:45,11.779,14.510,11.878,2.731,2.731,23.19,-0.099,2.632
49,12:00,11.796,14.720,11.987,2.924,2.924,24.79,-0.191,2.733
50,12:15,11.825,14.830,12.087,3.005,3.005,25.41,-0.262,2.743
51,12:30,11.713,14.900,12.211,3.187,3.187,27.21,-0.498,2.689
52,12:45,11.654,14.920,12.230,3.266,3.266,28.02,-0.576,2.690
53,13:00,11.536,14.860,12.028,3.324,3.324,28.81,-0.492,2.832
54,13:15,11.389,14.720,11.894,3.331,3.331,29.25,-0.505,2.826
55,13:30,11.065,14.510,11.503,3.445,3.445,31.13,-0.438,3.007
56,13:45,10.687,14.220,11.307,3.533,3.533,33.06,-0.620,2.913
57,14:00,10.283,13.870,11.020,3.587,3.587,34.88,-0.737,2.850
58,14:15,9.879,13.470,10.678,3.591,3.591,36.35,-0.800,2.792
59,14:30,9.417,13.000,10.352,3.583,3.583,38.05,-0.935,2.648
60,14:45,8.936,12.500,9.866,3.564,3.564,39.88,-0.930,2.634
61,15:00,8.398,11.940,9.293,3.542,3.542,42.18,-0.895,2.647
62,15:15,7.856,11.290,8.634,3.434,3.434,43.71,-0.778,2.656
63,15:30,7.218,10.580,7.824,3.362,3.362,46.58,-0.606,2.756
64,15:45,6.551,9.810,7.067,3.259,3.259,49.75,-0.516,2.743
65,16:00,5.808,8.950,6.148,3.142,3.142,54.10,-0.340,2.802
66,16:15,5.006,8.010,5.393,3.004,3.004,60.01,-0.387,2.617
67,16:30,4.193,6.990,4.521,2.797,2.797,66.71,-0.328,2.469
68,16:45,3.376,5.940,3.637,2.564,2.564,75.95,-0.261,2.303
69,17:00,2.375,4.880,2.783,2.505,2.505,105.47,-0.408,2.097
70,17:15,1.704,3.810,1.953,2.106,2.106,123.59,-0.249,1.857
71,17:30,1.015,2.790,1.376,1.775,1.775,174.88,-0.361,1.414
72,17:45,0.397,1.810,0.825,1.413,1.413,355.92,-0.428,0.985
73,18:00,0.058,0.970,0.421,0.912,0.912,1572.41,-0.363,0.549
74,18:15,0.018,0.220,0.127,0.202,0.202,1122.22,-0.109,0.093
75,18:30,0.000,0.000,0.009,0.000,0.000,,-0.009,-0.009
76,18:45,0.000,0.000,0.000,0.000,0.000,,0.000,0.000
77,19:00,0.000,0.000,0.000,0.000,0.000,,0.000,0.000
78,19:15,0.000,0.000,0.000,0.000,0.000,,0.000,0.000
79,19:30,0.000,0.000,0.000,0.000,0.000,,0.000,0.000
80,19:45,0.000,0.000,0.000,0.000,0.000,,0.000,0.000
81,20:00,0.000,0.000,0.000,0.000,0.000,,0.000,0.000
82,20:15,0.000,0.000,0.000,0.000,0.000,,0.000,0.000
83,20:30,0.000,0.000,0.000,0.000,0.000,,0.000,0.000
84,20:45,0.000,0.000,0.000,0.000,0.000,,0.000,0.000
85,21:00,0.000,0.000,0.000,0.000,0.000,,0.000,0.000
86,21:15,0.000,0.000,0.000,0.000,0.000,,0.000,0.000
87,21:30,0.000,0.000,0.000,0.000,0.000,,0.000,0.000
88,21:45,0.000,0.000,0.000,0.000,0.000,,0.000,0.000
89,22:00,0.000,0.000,0.000,0.000,0.000,,0.000,0.000
90,22:15,0.000,0.000,0.000,0.000,0.000,,0.000,0.000
91,22:30,0.000,0.000,0.000,0.000,0.000,,0.000,0.000
92,22:45,0.000,0.000,0.000,0.000,0.000,,0.000,0.000
93,23:00,0.000,0.000,0.000,0.000,0.000,,0.000,0.000
94,23:15,0.000,0.000,0.000,0.000,0.000,,0.000,0.000
95,23:30,0.000,0.000,0.000,0.000,0.000,,0.000,0.000
96,23:45,0.000,0.000,0.000,0.000,0.000,,0.000,0.000
