Timestamp,Active Power-Avg MFM-OUT (KW),AC_Active Output Power (KW) LCR1:INV1,DC_Power (KW) LCR1:INV1,AC_Active Output Power (KW) LCR1:INV2,DC_Power (KW) LCR1:INV2,AC_Active Output Power (KW) MCR:INV5,DC_Power (KW) MCR:INV5,AC_Active Output Power (KW) LCR2:INV3,DC_Power (KW) LCR2:INV3,AC_Active Output Power (KW) LCR2:INV4,DC_Power (KW) LCR2:INV4,Module Temperature (C),Ambient Temperature (C),POA (W/m2),GHI_W (W/m2),Plant CUF,Temp Co PR
13-03-2026 00:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.05,25.51,0.25,0.14,0.0,0.0
13-03-2026 00:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.64,25.21,0.29,0.15,0.0,0.0
13-03-2026 00:45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.48,24.82,0.28,0.14,0.0,0.0
13-03-2026 01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.95,24.68,0.24,0.15,0.0,0.0
13-03-2026 01:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.83,24.84,0.27,0.15,0.0,0.0
13-03-2026 01:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.39,24.46,0.26,0.15,0.0,0.0
13-03-2026 01:45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.87,23.94,0.25,0.14,0.0,0.0
13-03-2026 02:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.88,23.43,0.29,0.15,0.0,0.0
13-03-2026 02:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.78,23.47,0.27,0.15,0.0,0.0
13-03-2026 02:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.42,23.76,0.31,0.16,0.0,0.0
13-03-2026 02:45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.07,23.04,0.29,0.16,0.0,0.0
13-03-2026 03:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.32,22.69,0.33,0.16,0.0,0.0
13-03-2026 03:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.11,21.93,0.31,0.15,0.0,0.0
13-03-2026 03:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.83,22.13,0.31,0.17,0.0,0.0
13-03-2026 03:45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.37,21.34,0.34,0.17,0.0,0.0
13-03-2026 04:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.67,20.68,0.33,0.17,0.0,0.0
13-03-2026 04:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.42,20.82,0.33,0.18,0.0,0.0
13-03-2026 04:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.61,20.48,0.33,0.17,0.0,0.0
13-03-2026 04:45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.2,20.15,0.28,0.15,0.0,0.0
13-03-2026 05:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.6,20.12,0.32,0.18,0.0,0.0
13-03-2026 05:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.12,19.67,0.34,0.16,0.0,0.0
13-03-2026 05:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.79,19.46,0.35,0.17,0.0,0.0
13-03-2026 05:45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.8,19.42,0.37,0.19,0.0,0.0
13-03-2026 06:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.34,19.69,0.35,0.19,0.0,0.0
13-03-2026 06:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.01,19.58,0.35,0.18,0.0,0.0
13-03-2026 06:30,15.75,0.0,0.0,0.0,0.0,6.99,7.23,6.12,6.35,6.67,6.93,15.73,19.02,1.88,1.36,0.0,30.24
13-03-2026 06:45,162.0,0.0,0.0,0.0,0.0,42.33,43.64,41.31,42.6,43.09,44.37,16.07,19.2,16.0,15.11,0.0,59.05
13-03-2026 07:00,529.71,0.0,0.0,0.0,0.0,112.53,115.0,111.71,113.51,114.98,116.84,16.82,19.68,44.08,43.01,0.25,70.31
13-03-2026 07:15,1053.6,233.06,236.09,234.32,237.36,212.44,216.79,216.95,219.86,221.53,224.46,17.79,20.04,84.23,82.61,0.25,73.46
13-03-2026 07:30,1710.0,348.47,353.43,330.89,335.65,342.58,348.86,346.83,351.79,353.65,358.74,20.26,20.84,133.72,131.04,0.25,75.83
13-03-2026 07:45,2469.6,500.6,506.87,504.59,510.89,492.93,501.19,500.39,506.66,505.39,511.7,22.61,21.82,187.45,182.29,0.5,78.84
13-03-2026 08:00,3325.2,672.25,680.2,677.64,685.65,662.61,673.39,669.74,677.66,679.94,687.98,26.3,23.15,246.03,237.05,0.75,82.09
13-03-2026 08:15,4198.8,846.12,856.18,853.62,863.78,834.94,848.44,841.83,851.85,856.3,866.5,29.28,24.39,304.23,290.88,1.0,84.84
13-03-2026 08:30,5070.0,1020.84,1033.38,1029.14,1041.79,1012.37,1029.32,1016.93,1029.43,1037.0,1049.83,32.97,25.64,362.34,344.28,1.5,87.33
13-03-2026 08:45,5976.6,1195.26,1210.51,1211.69,1227.15,1198.86,1219.66,1197.0,1212.27,1223.77,1239.39,35.02,26.27,426.89,401.7,1.75,88.12
13-03-2026 09:00,6733.8,1350.53,1367.76,1368.54,1386.01,1350.12,1374.43,1350.69,1367.93,1379.3,1396.9,37.72,27.33,484.94,450.44,2.25,88.39
13-03-2026 09:15,7486.07,1495.7,1515.01,1514.38,1534.39,1499.11,1527.2,1495.07,1514.6,1533.75,1554.46,40.29,27.78,544.53,500.99,2.75,88.48
