block,timestamp,algo_schedule_mw,condition_used,BaseForecast,EffectiveBaseForecast,IntradayForecast_mw
1,2026-03-13 00:00:00,0.0,PRE_START,0.0,0.0,0.0
2,2026-03-13 00:15:00,0.0,PRE_START,0.0,0.0,0.0
3,2026-03-13 00:30:00,0.0,PRE_START,0.0,0.0,0.0
4,2026-03-13 00:45:00,0.0,PRE_START,0.0,0.0,0.0
5,2026-03-13 01:00:00,0.0,PRE_START,0.0,0.0,0.0
6,2026-03-13 01:15:00,0.0,PRE_START,0.0,0.0,0.0
7,2026-03-13 01:30:00,0.0,PRE_START,0.0,0.0,0.0
8,2026-03-13 01:45:00,0.0,PRE_START,0.0,0.0,0.0
9,2026-03-13 02:00:00,0.0,PRE_START,0.0,0.0,0.0
10,2026-03-13 02:15:00,0.0,PRE_START,0.0,0.0,0.0
11,2026-03-13 02:30:00,0.0,PRE_START,0.0,0.0,0.0
12,2026-03-13 02:45:00,0.0,PRE_START,0.0,0.0,0.0
13,2026-03-13 03:00:00,0.0,PRE_START,0.0,0.0,0.0
14,2026-03-13 03:15:00,0.0,PRE_START,0.0,0.0,0.0
15,2026-03-13 03:30:00,0.0,PRE_START,0.0,0.0,0.0
16,2026-03-13 03:45:00,0.0,PRE_START,0.0,0.0,0.0
17,2026-03-13 04:00:00,0.0,PRE_START,0.0,0.0,0.0
18,2026-03-13 04:15:00,0.0,PRE_START,0.0,0.0,0.0
19,2026-03-13 04:30:00,0.0,PRE_START,0.0,0.0,0.0
20,2026-03-13 04:45:00,0.0,PRE_START,0.0,0.0,0.0
21,2026-03-13 05:00:00,0.0,PRE_START,0.0,0.0,0.0
22,2026-03-13 05:15:00,0.0,PRE_START,0.0,0.0,0.0
23,2026-03-13 05:30:00,0.0,PRE_START,0.0,0.0,0.0
24,2026-03-13 05:45:00,0.0,PRE_START,0.0,0.0,0.0
25,2026-03-13 06:00:00,0.0,PRE_START,0.0,0.0,0.0
26,2026-03-13 06:15:00,0.0,PRE_START,0.0,0.0,0.16
27,2026-03-13 06:30:00,0.0,PRE_START,0.0,0.0,0.76
28,2026-03-13 06:45:00,0.0,PRE_START,0.0,0.0,1.76
29,2026-03-13 07:00:00,0.0,PRE_START,0.0,0.0,3.12
30,2026-03-13 07:15:00,4.49,ABRUPT_DECREASE,4.989,4.989,5.04
31,2026-03-13 07:30:00,6.104,ABRUPT_DECREASE,6.783,6.783,6.87
32,2026-03-13 07:45:00,8.694,CONDITION_3,8.694,8.694,8.82
33,2026-03-13 08:00:00,10.73,CONDITION_3,10.634,10.634,10.8
34,2026-03-13 08:15:00,14.24,CONDITION_3,14.113,14.113,14.35
35,2026-03-13 08:30:00,16.281,CONDITION_3,16.014,16.014,16.29
36,2026-03-13 08:45:00,18.135,CONDITION_3,17.837,17.837,18.15
37,2026-03-13 09:00:00,19.878,CONDITION_3,19.552,19.552,19.9
38,2026-03-13 09:15:00,21.512,CONDITION_3,21.159,21.159,21.54
39,2026-03-13 09:30:00,23.037,CONDITION_3,22.659,22.659,23.07
40,2026-03-13 09:45:00,24.471,CONDITION_3,24.07,24.07,24.51
41,2026-03-13 10:00:00,25.786,CONDITION_3,25.236,25.236,25.7
42,2026-03-13 10:15:00,26.668,CONDITION_3,26.099,26.099,26.58
43,2026-03-13 10:30:00,27.429,CONDITION_3,26.843,26.843,27.34
44,2026-03-13 10:45:00,27.883,CONDITION_3,27.373,27.373,27.88
45,2026-03-13 11:00:00,28.312,CONDITION_3,27.794,27.794,28.31
46,2026-03-13 11:15:00,28.632,CONDITION_3,28.108,28.108,28.63
47,2026-03-13 11:30:00,28.596,CONDITION_3,28.245,28.245,28.77
48,2026-03-13 11:45:00,28.529,CONDITION_3,28.353,28.353,28.88
49,2026-03-13 12:00:00,28.451,CONDITION_3,28.451,28.451,28.98
50,2026-03-13 12:15:00,28.313,CONDITION_3,28.313,28.313,28.84
51,2026-03-13 12:30:00,28.059,CONDITION_3,28.059,28.059,28.58
52,2026-03-13 12:45:00,27.784,CONDITION_3,27.784,27.784,28.3
53,2026-03-13 13:00:00,27.193,CONDITION_3,27.363,27.363,27.87
54,2026-03-13 13:15:00,26.706,CONDITION_3,26.873,26.873,27.37
55,2026-03-13 13:30:00,25.832,CONDITION_3,26.157,26.157,26.64
56,2026-03-13 13:45:00,24.961,CONDITION_3,25.275,25.275,25.74
57,2026-03-13 14:00:00,23.852,CONDITION_3,24.305,24.305,24.75
58,2026-03-13 14:15:00,22.765,CONDITION_3,23.198,23.198,23.62
59,2026-03-13 14:30:00,21.611,CONDITION_3,22.022,22.022,22.42
60,2026-03-13 14:45:00,20.418,CONDITION_3,20.807,20.807,21.18
61,2026-03-13 15:00:00,19.139,CONDITION_3,19.503,19.503,19.85
62,2026-03-13 15:15:00,17.795,CONDITION_3,18.053,18.053,18.37
63,2026-03-13 15:30:00,16.201,CONDITION_3,16.436,16.436,16.72
64,2026-03-13 15:45:00,14.569,CONDITION_3,14.78,14.78,15.03
65,2026-03-13 16:00:00,12.791,CONDITION_3,12.976,12.976,13.19
66,2026-03-13 16:15:00,10.927,CONDITION_3,11.085,11.085,11.26
67,2026-03-13 16:30:00,9.045,CONDITION_3,9.115,9.115,9.25
68,2026-03-13 16:45:00,7.171,CONDITION_3,7.224,7.224,7.32
69,2026-03-13 17:00:00,5.05,CONDITION_3,5.087,5.087,5.14
70,2026-03-13 17:15:00,3.563,CONDITION_3,3.588,3.588,3.61
71,2026-03-13 17:30:00,2.088,CONDITION_3,2.098,2.098,2.09
72,2026-03-13 17:45:00,0.744,CONDITION_3,0.767,0.767,0.87
73,2026-03-13 18:00:00,0.041,CONDITION_3,0.043,0.043,0.0
74,2026-03-13 18:15:00,0.0,SUNSET_CLAMP,0.05,0.05,0.0
75,2026-03-13 18:30:00,0.0,SUNSET_CLAMP,0.05,0.05,0.0
76,2026-03-13 18:45:00,0.0,SUNSET_CLAMP,0.05,0.05,0.0
77,2026-03-13 19:00:00,0.0,SUNSET_CLAMP,0.05,0.05,0.0
78,2026-03-13 19:15:00,0.0,SUNSET_CLAMP,0.05,0.05,0.0
79,2026-03-13 19:30:00,0.0,SUNSET_CLAMP,0.05,0.05,0.0
80,2026-03-13 19:45:00,0.0,SUNSET_CLAMP,0.05,0.05,0.0
81,2026-03-13 20:00:00,0.0,SUNSET_CLAMP,0.05,0.05,0.0
82,2026-03-13 20:15:00,0.0,SUNSET_CLAMP,0.05,0.05,0.0
83,2026-03-13 20:30:00,0.0,SUNSET_CLAMP,0.05,0.05,0.0
84,2026-03-13 20:45:00,0.0,SUNSET_CLAMP,0.05,0.05,0.0
85,2026-03-13 21:00:00,0.0,SUNSET_CLAMP,0.05,0.05,0.0
86,2026-03-13 21:15:00,0.0,SUNSET_CLAMP,0.05,0.05,0.0
87,2026-03-13 21:30:00,0.0,SUNSET_CLAMP,0.05,0.05,0.0
88,2026-03-13 21:45:00,0.0,SUNSET_CLAMP,0.05,0.05,0.0
89,2026-03-13 22:00:00,0.0,SUNSET_CLAMP,0.05,0.05,0.0
90,2026-03-13 22:15:00,0.0,SUNSET_CLAMP,0.05,0.05,0.0
91,2026-03-13 22:30:00,0.0,SUNSET_CLAMP,0.05,0.05,0.0
92,2026-03-13 22:45:00,0.0,SUNSET_CLAMP,0.05,0.05,0.0
93,2026-03-13 23:00:00,0.0,SUNSET_CLAMP,0.05,0.05,0.0
94,2026-03-13 23:15:00,0.0,SUNSET_CLAMP,0.05,0.05,0.0
95,2026-03-13 23:30:00,0.0,SUNSET_CLAMP,0.05,0.05,0.0
96,2026-03-13 23:45:00,0.0,SUNSET_CLAMP,0.05,0.05,0.0
