Block,Time,System Schedule (MW),Vedanjay Schedule (MW),Metered Actual (MW),Diff (MW),Abs Diff (MW),Diff % of System,System vs Metered (MW),Vedanjay vs Metered (MW)
1,00:00,0.000,0.000,,0.000,0.000,,,
2,00:15,0.000,0.000,0.000,0.000,0.000,,0.000,0.000
3,00:30,0.000,0.000,0.000,0.000,0.000,,0.000,0.000
4,00:45,0.000,0.000,0.000,0.000,0.000,,0.000,0.000
5,01:00,0.000,0.000,0.000,0.000,0.000,,0.000,0.000
6,01:15,0.000,0.000,0.000,0.000,0.000,,0.000,0.000
7,01:30,0.000,0.000,0.000,0.000,0.000,,0.000,0.000
8,01:45,0.000,0.000,0.000,0.000,0.000,,0.000,0.000
9,02:00,0.000,0.000,0.000,0.000,0.000,,0.000,0.000
10,02:15,0.000,0.000,0.000,0.000,0.000,,0.000,0.000
11,02:30,0.000,0.000,0.000,0.000,0.000,,0.000,0.000
12,02:45,0.000,0.000,0.000,0.000,0.000,,0.000,0.000
13,03:00,0.000,0.000,0.000,0.000,0.000,,0.000,0.000
14,03:15,0.000,0.000,0.000,0.000,0.000,,0.000,0.000
15,03:30,0.000,0.000,0.000,0.000,0.000,,0.000,0.000
16,03:45,0.000,0.000,0.000,0.000,0.000,,0.000,0.000
17,04:00,0.000,0.000,0.000,0.000,0.000,,0.000,0.000
18,04:15,0.000,0.000,0.000,0.000,0.000,,0.000,0.000
19,04:30,0.000,0.000,0.000,0.000,0.000,,0.000,0.000
20,04:45,0.000,0.000,0.000,0.000,0.000,,0.000,0.000
21,05:00,0.000,0.000,0.000,0.000,0.000,,0.000,0.000
22,05:15,0.000,0.000,0.000,0.000,0.000,,0.000,0.000
23,05:30,0.000,0.000,0.000,0.000,0.000,,0.000,0.000
24,05:45,0.000,0.000,0.000,0.000,0.000,,0.000,0.000
25,06:00,0.000,0.000,0.000,0.000,0.000,,0.000,0.000
26,06:15,0.000,0.130,0.000,0.130,0.130,,0.000,0.130
27,06:30,0.000,0.620,0.061,0.620,0.620,,-0.061,0.559
28,06:45,0.000,1.440,0.492,1.440,1.440,,-0.492,0.948
29,07:00,0.000,2.560,1.388,2.560,2.560,,-1.388,1.172
30,07:15,4.490,3.950,2.507,-0.540,0.540,-12.03,1.983,1.443
31,07:30,6.104,5.490,3.909,-0.614,0.614,-10.06,2.195,1.581
32,07:45,8.694,7.200,5.644,-1.494,1.494,-17.18,3.050,1.556
33,08:00,10.730,8.970,7.516,-1.760,1.760,-16.40,3.214,1.454
34,08:15,14.240,10.770,9.536,-3.470,3.470,-24.37,4.704,1.234
35,08:30,16.281,12.430,11.562,-3.851,3.851,-23.65,4.719,0.868
36,08:45,18.135,14.090,13.576,-4.045,4.045,-22.30,4.559,0.514
