block,timestamp,algo_schedule_mw,condition_used,BaseForecast,EffectiveBaseForecast,IntradayForecast_mw
1,2026-03-13 00:00:00,0.0,PRE_START,0.0,0.0,0.0
2,2026-03-13 00:15:00,0.0,PRE_START,0.0,0.0,0.0
3,2026-03-13 00:30:00,0.0,PRE_START,0.0,0.0,0.0
4,2026-03-13 00:45:00,0.0,PRE_START,0.0,0.0,0.0
5,2026-03-13 01:00:00,0.0,PRE_START,0.0,0.0,0.0
6,2026-03-13 01:15:00,0.0,PRE_START,0.0,0.0,0.0
7,2026-03-13 01:30:00,0.0,PRE_START,0.0,0.0,0.0
8,2026-03-13 01:45:00,0.0,PRE_START,0.0,0.0,0.0
9,2026-03-13 02:00:00,0.0,PRE_START,0.0,0.0,0.0
10,2026-03-13 02:15:00,0.0,PRE_START,0.0,0.0,0.0
11,2026-03-13 02:30:00,0.0,PRE_START,0.0,0.0,0.0
12,2026-03-13 02:45:00,0.0,PRE_START,0.0,0.0,0.0
13,2026-03-13 03:00:00,0.0,PRE_START,0.0,0.0,0.0
14,2026-03-13 03:15:00,0.0,PRE_START,0.0,0.0,0.0
15,2026-03-13 03:30:00,0.0,PRE_START,0.0,0.0,0.0
16,2026-03-13 03:45:00,0.0,PRE_START,0.0,0.0,0.0
17,2026-03-13 04:00:00,0.0,PRE_START,0.0,0.0,0.0
18,2026-03-13 04:15:00,0.0,PRE_START,0.0,0.0,0.0
19,2026-03-13 04:30:00,0.0,PRE_START,0.0,0.0,0.0
20,2026-03-13 04:45:00,0.0,PRE_START,0.0,0.0,0.0
21,2026-03-13 05:00:00,0.0,PRE_START,0.0,0.0,0.0
22,2026-03-13 05:15:00,0.0,PRE_START,0.0,0.0,0.0
23,2026-03-13 05:30:00,0.0,PRE_START,0.0,0.0,0.0
24,2026-03-13 05:45:00,0.0,PRE_START,0.0,0.0,0.0
25,2026-03-13 06:00:00,0.0,PRE_START,0.0,0.0,0.0
26,2026-03-13 06:15:00,0.0,PRE_START,0.0,0.0,0.0
27,2026-03-13 06:30:00,0.0,PRE_START,0.0,0.0,0.0
28,2026-03-13 06:45:00,0.0,PRE_START,0.0,0.0,0.16
29,2026-03-13 07:00:00,0.0,PRE_START,0.0,0.0,0.36
30,2026-03-13 07:15:00,0.523,CONDITION_3,0.523,0.523,0.62
31,2026-03-13 07:30:00,0.756,CONDITION_3,0.756,0.756,0.9
32,2026-03-13 07:45:00,0.997,CONDITION_3,0.997,0.997,1.19
33,2026-03-13 08:00:00,1.461,CONDITION_3,1.448,1.448,1.47
34,2026-03-13 08:15:00,1.767,CONDITION_3,1.752,1.752,1.78
35,2026-03-13 08:30:00,2.024,CONDITION_3,2.006,2.006,2.04
36,2026-03-13 08:45:00,2.281,CONDITION_3,2.261,2.261,2.3
37,2026-03-13 09:00:00,2.529,CONDITION_3,2.506,2.506,2.55
38,2026-03-13 09:15:00,2.787,CONDITION_3,2.741,2.741,2.79
39,2026-03-13 09:30:00,2.996,CONDITION_3,2.947,2.947,3.0
40,2026-03-13 09:45:00,3.206,CONDITION_3,3.153,3.153,3.21
41,2026-03-13 10:00:00,3.395,CONDITION_3,3.339,3.339,3.4
42,2026-03-13 10:15:00,3.544,CONDITION_3,3.486,3.486,3.55
43,2026-03-13 10:30:00,3.702,CONDITION_3,3.623,3.623,3.69
44,2026-03-13 10:45:00,3.823,CONDITION_3,3.741,3.741,3.81
45,2026-03-13 11:00:00,3.923,CONDITION_3,3.839,3.839,3.91
46,2026-03-13 11:15:00,4.013,CONDITION_3,3.927,3.927,4.0
47,2026-03-13 11:30:00,4.083,CONDITION_3,3.996,3.996,4.07
48,2026-03-13 11:45:00,4.143,CONDITION_3,4.055,4.055,4.13
49,2026-03-13 12:00:00,4.163,CONDITION_3,4.104,4.104,4.18
50,2026-03-13 12:15:00,4.183,CONDITION_3,4.123,4.123,4.2
51,2026-03-13 12:30:00,4.163,CONDITION_3,4.133,4.133,4.21
52,2026-03-13 12:45:00,4.123,CONDITION_3,4.123,4.123,4.2
53,2026-03-13 13:00:00,4.094,CONDITION_3,4.094,4.094,4.17
54,2026-03-13 13:15:00,4.064,CONDITION_3,4.064,4.064,4.14
55,2026-03-13 13:30:00,3.986,CONDITION_3,3.986,3.986,4.06
56,2026-03-13 13:45:00,3.86,CONDITION_3,3.888,3.888,3.96
57,2026-03-13 14:00:00,3.725,CONDITION_3,3.78,3.78,3.85
58,2026-03-13 14:15:00,3.585,CONDITION_3,3.653,3.653,3.72
59,2026-03-13 14:30:00,3.44,CONDITION_3,3.506,3.506,3.57
60,2026-03-13 14:45:00,3.306,CONDITION_3,3.369,3.369,3.43
61,2026-03-13 15:00:00,3.133,CONDITION_3,3.192,3.192,3.25
62,2026-03-13 15:15:00,2.959,CONDITION_3,3.016,3.016,3.07
63,2026-03-13 15:30:00,2.77,CONDITION_3,2.81,2.81,2.86
64,2026-03-13 15:45:00,2.557,CONDITION_3,2.594,2.594,2.64
65,2026-03-13 16:00:00,2.325,CONDITION_3,2.359,2.359,2.4
66,2026-03-13 16:15:00,2.074,CONDITION_3,2.104,2.104,2.14
67,2026-03-13 16:30:00,1.804,CONDITION_3,1.83,1.83,1.86
68,2026-03-13 16:45:00,1.544,CONDITION_3,1.556,1.556,1.58
69,2026-03-13 17:00:00,1.271,CONDITION_3,1.281,1.281,1.3
70,2026-03-13 17:15:00,0.999,CONDITION_3,1.007,1.007,1.02
71,2026-03-13 17:30:00,0.638,CONDITION_3,0.644,0.644,0.65
72,2026-03-13 17:45:00,0.426,CONDITION_3,0.429,0.429,0.43
73,2026-03-13 18:00:00,0.192,CONDITION_3,0.198,0.198,0.23
74,2026-03-13 18:15:00,0.071,CONDITION_3,0.073,0.073,0.08
75,2026-03-13 18:30:00,0.006,CONDITION_3,0.006,0.006,0.0
76,2026-03-13 18:45:00,0.0,SUNSET_CLAMP,0.007,0.007,0.0
77,2026-03-13 19:00:00,0.0,SUNSET_CLAMP,0.007,0.007,0.0
78,2026-03-13 19:15:00,0.0,SUNSET_CLAMP,0.007,0.007,0.0
79,2026-03-13 19:30:00,0.0,SUNSET_CLAMP,0.007,0.007,0.0
80,2026-03-13 19:45:00,0.0,SUNSET_CLAMP,0.007,0.007,0.0
81,2026-03-13 20:00:00,0.0,SUNSET_CLAMP,0.007,0.007,0.0
82,2026-03-13 20:15:00,0.0,SUNSET_CLAMP,0.007,0.007,0.0
83,2026-03-13 20:30:00,0.0,SUNSET_CLAMP,0.007,0.007,0.0
84,2026-03-13 20:45:00,0.0,SUNSET_CLAMP,0.007,0.007,0.0
85,2026-03-13 21:00:00,0.0,SUNSET_CLAMP,0.007,0.007,0.0
86,2026-03-13 21:15:00,0.0,SUNSET_CLAMP,0.007,0.007,0.0
87,2026-03-13 21:30:00,0.0,SUNSET_CLAMP,0.007,0.007,0.0
88,2026-03-13 21:45:00,0.0,SUNSET_CLAMP,0.007,0.007,0.0
89,2026-03-13 22:00:00,0.0,SUNSET_CLAMP,0.007,0.007,0.0
90,2026-03-13 22:15:00,0.0,SUNSET_CLAMP,0.007,0.007,0.0
91,2026-03-13 22:30:00,0.0,SUNSET_CLAMP,0.007,0.007,0.0
92,2026-03-13 22:45:00,0.0,SUNSET_CLAMP,0.007,0.007,0.0
93,2026-03-13 23:00:00,0.0,SUNSET_CLAMP,0.007,0.007,0.0
94,2026-03-13 23:15:00,0.0,SUNSET_CLAMP,0.007,0.007,0.0
95,2026-03-13 23:30:00,0.0,SUNSET_CLAMP,0.007,0.007,0.0
96,2026-03-13 23:45:00,0.0,SUNSET_CLAMP,0.007,0.007,0.0
