Block,Time,System Schedule (MW),Vedanjay Schedule (MW),Metered Actual (MW),Diff (MW),Abs Diff (MW),Diff % of System,System vs Metered (MW),Vedanjay vs Metered (MW)
1,00:00,0.000,0.000,,0.000,0.000,,,
2,00:15,0.000,0.000,,0.000,0.000,,,
3,00:30,0.000,0.000,,0.000,0.000,,,
4,00:45,0.000,0.000,,0.000,0.000,,,
5,01:00,0.000,0.000,,0.000,0.000,,,
6,01:15,0.000,0.000,,0.000,0.000,,,
7,01:30,0.000,0.000,,0.000,0.000,,,
8,01:45,0.000,0.000,,0.000,0.000,,,
9,02:00,0.000,0.000,,0.000,0.000,,,
10,02:15,0.000,0.000,,0.000,0.000,,,
11,02:30,0.000,0.000,,0.000,0.000,,,
12,02:45,0.000,0.000,,0.000,0.000,,,
13,03:00,0.000,0.000,,0.000,0.000,,,
14,03:15,0.000,0.000,,0.000,0.000,,,
15,03:30,0.000,0.000,,0.000,0.000,,,
16,03:45,0.000,0.000,,0.000,0.000,,,
17,04:00,0.000,0.000,,0.000,0.000,,,
18,04:15,0.000,0.000,,0.000,0.000,,,
19,04:30,0.000,0.000,,0.000,0.000,,,
20,04:45,0.000,0.000,,0.000,0.000,,,
21,05:00,0.000,0.000,,0.000,0.000,,,
22,05:15,0.000,0.000,,0.000,0.000,,,
23,05:30,0.000,0.000,,0.000,0.000,,,
24,05:45,0.000,0.000,,0.000,0.000,,,
25,06:00,0.000,0.000,-0.006,0.000,0.000,,0.006,0.006
26,06:15,0.000,0.000,-0.006,0.000,0.000,,0.006,0.006
27,06:30,0.000,0.000,-0.003,0.000,0.000,,0.003,0.003
28,06:45,0.000,0.150,0.046,0.150,0.150,,-0.046,0.104
29,07:00,0.000,0.350,0.160,0.350,0.350,,-0.160,0.190
30,07:15,0.523,0.590,0.357,0.067,0.067,12.81,0.166,0.233
31,07:30,0.756,0.850,0.609,0.094,0.094,12.43,0.147,0.241
32,07:45,0.997,1.130,0.915,0.133,0.133,13.34,0.082,0.215
33,08:00,1.461,1.410,1.233,-0.051,0.051,-3.49,0.228,0.177
34,08:15,1.767,1.690,1.540,-0.077,0.077,-4.36,0.227,0.150
35,08:30,2.024,1.950,1.849,-0.074,0.074,-3.66,0.175,0.101
36,08:45,2.281,2.210,2.140,-0.071,0.071,-3.11,0.141,0.070
37,09:00,2.529,2.460,2.403,-0.069,0.069,-2.73,0.126,0.057
38,09:15,2.787,2.700,2.636,-0.087,0.087,-3.12,0.151,0.064
39,09:30,2.996,2.920,2.880,-0.076,0.076,-2.54,0.116,0.040
40,09:45,3.206,3.120,3.105,-0.086,0.086,-2.68,0.101,0.015
41,10:00,3.395,3.300,3.299,-0.095,0.095,-2.80,0.096,0.001
42,10:15,3.544,3.460,3.485,-0.084,0.084,-2.37,0.059,-0.025
43,10:30,3.702,3.590,3.627,-0.112,0.112,-3.03,0.075,-0.037
44,10:45,3.823,3.720,3.783,-0.103,0.103,-2.69,0.040,-0.063
45,11:00,3.923,3.820,3.889,-0.103,0.103,-2.63,0.034,-0.069
46,11:15,4.013,3.910,3.944,-0.103,0.103,-2.57,0.069,-0.034
47,11:30,4.083,3.990,4.041,-0.093,0.093,-2.28,0.042,-0.051
48,11:45,4.143,4.050,4.090,-0.093,0.093,-2.24,0.053,-0.040
49,12:00,4.163,4.090,4.111,-0.073,0.073,-1.75,0.052,-0.021
50,12:15,4.183,4.120,4.198,-0.063,0.063,-1.51,-0.015,-0.078
51,12:30,4.163,4.130,4.148,-0.033,0.033,-0.79,0.015,-0.018
