FOR DATE:,20260325
REV. NO.,
TIME:,2026-03-25-07-15+0530
REMARKS
BLK NO.,FROM TIME,TO TIME,SIRMOUR,Availability Capacity
1,00:00,00:15,0.00,5.10
2,00:15,00:30,0.00,5.10
3,00:30,00:45,0.00,5.10
4,00:45,01:00,0.00,5.10
5,01:00,01:15,0.00,5.10
6,01:15,01:30,0.00,5.10
7,01:30,01:45,0.00,5.10
8,01:45,02:00,0.00,5.10
9,02:00,02:15,0.00,5.10
10,02:15,02:30,0.00,5.10
11,02:30,02:45,0.00,5.10
12,02:45,03:00,0.00,5.10
13,03:00,03:15,0.00,5.10
14,03:15,03:30,0.00,5.10
15,03:30,03:45,0.00,5.10
16,03:45,04:00,0.00,5.10
17,04:00,04:15,0.00,5.10
18,04:15,04:30,0.00,5.10
19,04:30,04:45,0.00,5.10
20,04:45,05:00,0.00,5.10
21,05:00,05:15,0.00,5.10
22,05:15,05:30,0.00,5.10
23,05:30,05:45,0.00,5.10
24,05:45,06:00,0.00,5.10
25,06:00,06:15,0.00,5.10
26,06:15,06:30,0.00,5.10
27,06:30,06:45,0.01,5.10
28,06:45,07:00,0.12,5.10
29,07:00,07:15,0.34,5.10
30,07:15,07:30,0.59,5.10
31,07:30,07:45,0.86,5.10
32,07:45,08:00,1.15,5.10
33,08:00,08:15,1.46,5.10
34,08:15,08:30,1.81,5.10
35,08:30,08:45,2.12,5.10
36,08:45,09:00,2.42,5.10
37,09:00,09:15,2.68,5.10
38,09:15,09:30,2.92,5.10
39,09:30,09:45,3.13,5.10
40,09:45,10:00,3.32,5.10
41,10:00,10:15,3.47,5.10
42,10:15,10:30,3.57,5.10
43,10:30,10:45,3.66,5.10
44,10:45,11:00,3.72,5.10
45,11:00,11:15,3.79,5.10
46,11:15,11:30,3.88,5.10
47,11:30,11:45,3.88,5.10
48,11:45,12:00,3.85,5.10
49,12:00,12:15,3.80,5.10
50,12:15,12:30,3.73,5.10
51,12:30,12:45,3.81,5.10
52,12:45,13:00,3.88,5.10
53,13:00,13:15,3.90,5.10
54,13:15,13:30,3.87,5.10
55,13:30,13:45,3.77,5.10
56,13:45,14:00,3.64,5.10
57,14:00,14:15,3.50,5.10
58,14:15,14:30,3.34,5.10
59,14:30,14:45,3.13,5.10
60,14:45,15:00,2.90,5.10
61,15:00,15:15,2.68,5.10
62,15:15,15:30,2.43,5.10
63,15:30,15:45,2.19,5.10
64,15:45,16:00,1.96,5.10
65,16:00,16:15,1.72,5.10
66,16:15,16:30,1.48,5.10
67,16:30,16:45,1.29,5.10
68,16:45,17:00,1.11,5.10
69,17:00,17:15,0.92,5.10
70,17:15,17:30,0.74,5.10
71,17:30,17:45,0.54,5.10
72,17:45,18:00,0.36,5.10
73,18:00,18:15,0.20,5.10
74,18:15,18:30,0.07,5.10
75,18:30,18:45,0.00,5.10
76,18:45,19:00,0.00,5.10
77,19:00,19:15,0.00,5.10
78,19:15,19:30,0.00,5.10
79,19:30,19:45,0.00,5.10
80,19:45,20:00,0.00,5.10
81,20:00,20:15,0.00,5.10
82,20:15,20:30,0.00,5.10
83,20:30,20:45,0.00,5.10
84,20:45,21:00,0.00,5.10
85,21:00,21:15,0.00,5.10
86,21:15,21:30,0.00,5.10
87,21:30,21:45,0.00,5.10
88,21:45,22:00,0.00,5.10
89,22:00,22:15,0.00,5.10
90,22:15,22:30,0.00,5.10
91,22:30,22:45,0.00,5.10
92,22:45,23:00,0.00,5.10
93,23:00,23:15,0.00,5.10
94,23:15,23:30,0.00,5.10
95,23:30,23:45,0.00,5.10
96,23:45,00:00,0.00,5.10
