date,temperature_2m,wind_speed_10m,diffuse_radiation,global_tilted_irradiance,source_date,fetched_at_utc
2026-03-26 00:00:00+05:30,27.1585,3.4152596,0.0,0.0,2026-03-26,2026-03-26T21:06:36.246294+05:30
2026-03-26 00:15:00+05:30,26.9585,3.2599385,0.0,0.0,2026-03-26,2026-03-26T21:06:36.246294+05:30
2026-03-26 00:30:00+05:30,26.8085,3.2599385,0.0,0.0,2026-03-26,2026-03-26T21:06:36.246294+05:30
2026-03-26 00:45:00+05:30,26.7085,3.4152596,0.0,0.0,2026-03-26,2026-03-26T21:06:36.246294+05:30
2026-03-26 01:00:00+05:30,26.6085,3.396233,0.0,0.0,2026-03-26,2026-03-26T21:06:36.246294+05:30
2026-03-26 01:15:00+05:30,26.508501,3.319036,0.0,0.0,2026-03-26,2026-03-26T21:06:36.246294+05:30
2026-03-26 01:30:00+05:30,26.4085,3.563818,0.0,0.0,2026-03-26,2026-03-26T21:06:36.246294+05:30
2026-03-26 01:45:00+05:30,26.3085,3.319036,0.0,0.0,2026-03-26,2026-03-26T21:06:36.246294+05:30
2026-03-26 02:00:00+05:30,26.1585,3.219938,0.0,0.0,2026-03-26,2026-03-26T21:06:36.246294+05:30
2026-03-26 02:15:00+05:30,26.0585,3.319036,0.0,0.0,2026-03-26,2026-03-26T21:06:36.246294+05:30
2026-03-26 02:30:00+05:30,25.9085,3.6,0.0,0.0,2026-03-26,2026-03-26T21:06:36.246294+05:30
2026-03-26 02:45:00+05:30,25.758501,4.379589,0.0,0.0,2026-03-26,2026-03-26T21:06:36.246294+05:30
2026-03-26 03:00:00+05:30,25.6085,5.2416787,0.0,0.0,2026-03-26,2026-03-26T21:06:36.246294+05:30
2026-03-26 03:15:00+05:30,25.4585,6.489992,0.0,0.0,2026-03-26,2026-03-26T21:06:36.246294+05:30
2026-03-26 03:30:00+05:30,25.3085,6.9527545,0.0,0.0,2026-03-26,2026-03-26T21:06:36.246294+05:30
2026-03-26 03:45:00+05:30,25.1585,6.725354,0.0,0.0,2026-03-26,2026-03-26T21:06:36.246294+05:30
2026-03-26 04:00:00+05:30,25.0585,6.162207,0.0,0.0,2026-03-26,2026-03-26T21:06:36.246294+05:30
2026-03-26 04:15:00+05:30,24.9585,5.7599998,0.0,0.0,2026-03-26,2026-03-26T21:06:36.246294+05:30
2026-03-26 04:30:00+05:30,24.8085,5.0528407,0.0,0.0,2026-03-26,2026-03-26T21:06:36.246294+05:30
2026-03-26 04:45:00+05:30,24.6585,4.379589,0.0,0.0,2026-03-26,2026-03-26T21:06:36.246294+05:30
2026-03-26 05:00:00+05:30,24.4585,4.1046314,0.0,0.0,2026-03-26,2026-03-26T21:06:36.246294+05:30
2026-03-26 05:15:00+05:30,24.258501,5.315336,0.0,0.0,2026-03-26,2026-03-26T21:06:36.246294+05:30
2026-03-26 05:30:00+05:30,24.1085,6.379216,0.0,0.0,2026-03-26,2026-03-26T21:06:36.246294+05:30
2026-03-26 05:45:00+05:30,23.9085,6.638072,0.0,0.0,2026-03-26,2026-03-26T21:06:36.246294+05:30
2026-03-26 06:00:00+05:30,23.758501,6.638072,0.0,0.0,2026-03-26,2026-03-26T21:06:36.246294+05:30
