block,IntradayForecast_mw,BaseForecast,EffectiveBaseForecast,algo_schedule_mw,Metered_mw,Vedanjay_Schedule,Maximum tolerable schedule,Minimum tolerable schedule
1,0.0,0.0,0.0,0.0,,,,
2,0.0,0.0,0.0,0.0,,,,
3,0.0,0.0,0.0,0.0,,,,
4,0.0,0.0,0.0,0.0,,,,
5,0.0,0.0,0.0,0.0,,,,
6,0.0,0.0,0.0,0.0,,,,
7,0.0,0.0,0.0,0.0,,,,
8,0.0,0.0,0.0,0.0,,,,
9,0.0,0.0,0.0,0.0,,,,
10,0.0,0.0,0.0,0.0,,,,
11,0.0,0.0,0.0,0.0,,,,
12,0.0,0.0,0.0,0.0,,,,
13,0.0,0.0,0.0,0.0,,,,
14,0.0,0.0,0.0,0.0,,,,
15,0.0,0.0,0.0,0.0,,,,
16,0.0,0.0,0.0,0.0,,,,
17,0.0,0.0,0.0,0.0,,,,
18,0.0,0.0,0.0,0.0,,,,
19,0.0,0.0,0.0,0.0,,,,
20,0.0,0.0,0.0,0.0,,,,
21,0.0,0.0,0.0,0.0,,,,
22,0.0,0.0,0.0,0.0,,,,
23,0.0,0.0,0.0,0.0,,,,
24,0.0,0.0,0.0,0.0,-0.005318,,0.504682,-0.515318
25,0.0,0.0,0.0,0.0,-0.005405333333333333,,0.5045946666666666,-0.5154053333333334
26,0.0,0.0,0.0,0.0,0.0042525,,0.5142525,-0.5057475
27,0.01,0.0,0.0,0.0,0.0294625,,0.5394625,-0.4805375
28,0.11,0.0,0.0,0.0,0.15080600000000002,,0.660806,-0.359194
29,0.26,0.0,0.0,0.0,0.22135333333333332,,0.7313533333333333,-0.2886466666666667
30,0.46,0.0,0.0,0.0,0.3194073333333334,,0.8294073333333334,-0.19059266666666663
31,0.69,0.587,0.587,0.631,0.7067519999999998,,1.2167519999999998,0.19675199999999982
32,0.95,0.945,0.945,0.986,0.49563533333333326,,1.0056353333333332,-0.014364666666666748
33,1.24,1.229,1.229,1.297,1.1202006666666666,,1.6302006666666666,0.6102006666666666
34,1.56,1.543,1.543,1.628,1.3796833333333336,,1.8896833333333336,0.8696833333333336
35,1.84,1.817,1.817,1.918,1.6680479999999998,,2.1780479999999995,1.1580479999999997
36,2.11,2.082,2.082,2.197,1.9344153333333332,,2.444415333333333,1.4244153333333331
