fetched_at_utc,source_date,latitude,longitude,elevation_m,timezone,timezone_abbrev,utc_offset_seconds,current_time_unix,current_time_ist,current_time_ist_hhmm,current_time_ist_hm,temperature_2m,wind_speed_10m,cloud_cover
2026-03-25T08:05:25.426001+05:30,2026-03-25,24.54279327392578,75.1171875,475.0,Asia/Kolkata,GMT+5:30,19800,1774405800,2026-03-25T08:00:00+05:30,8.0,8.0,25.60849952697754,10.82995891571045,100.0
2026-03-25T08:20:12.268215+05:30,2026-03-25,24.54279327392578,75.1171875,475.0,Asia/Kolkata,GMT+5:30,19800,1774405800,2026-03-25T08:00:00+05:30,8.0,8.0,25.60849952697754,10.82995891571045,100.0
2026-03-25T08:35:13.613134+05:30,2026-03-25,24.54279327392578,75.1171875,475.0,Asia/Kolkata,GMT+5:30,19800,1774405800,2026-03-25T08:00:00+05:30,8.0,8.0,25.60849952697754,10.82995891571045,100.0
2026-03-25T08:50:13.306670+05:30,2026-03-25,24.54279327392578,75.1171875,475.0,Asia/Kolkata,GMT+5:30,19800,1774405800,2026-03-25T08:00:00+05:30,8.0,8.0,25.60849952697754,10.82995891571045,100.0
2026-03-25T09:05:13.047523+05:30,2026-03-25,24.54279327392578,75.1171875,475.0,Asia/Kolkata,GMT+5:30,19800,1774405800,2026-03-25T08:00:00+05:30,8.0,8.0,25.60849952697754,10.82995891571045,100.0
2026-03-25T09:20:14.116522+05:30,2026-03-25,24.54279327392578,75.1171875,475.0,Asia/Kolkata,GMT+5:30,19800,1774410300,2026-03-25T09:15:00+05:30,9.15,9.15,28.508501052856445,12.964998245239258,100.0
2026-03-25T10:20:18.691297+05:30,2026-03-25,24.54279327392578,75.1171875,475.0,Asia/Kolkata,GMT+5:30,19800,1774413900,2026-03-25T10:15:00+05:30,10.15,10.15,30.40850067138672,13.755579948425291,25.0
2026-03-25T10:35:18.413539+05:30,2026-03-25,24.54279327392578,75.1171875,475.0,Asia/Kolkata,GMT+5:30,19800,1774413900,2026-03-25T10:15:00+05:30,10.15,10.15,30.40850067138672,13.755579948425291,25.0
2026-03-25T10:50:25.243519+05:30,2026-03-25,24.54279327392578,75.1171875,475.0,Asia/Kolkata,GMT+5:30,19800,1774413900,2026-03-25T10:15:00+05:30,10.15,10.15,30.40850067138672,13.755579948425291,25.0
2026-03-25T11:50:25.538025+05:30,2026-03-25,24.54279327392578,75.1171875,475.0,Asia/Kolkata,GMT+5:30,19800,1774419300,2026-03-25T11:45:00+05:30,11.45,11.45,32.458499908447266,13.830748558044434,4.0
