block,timestamp,algo_schedule_mw,condition_used,BaseForecast,EffectiveBaseForecast,IntradayForecast_mw
1,2026-03-25 00:00:00,0.0,PRE_START,0.0,0.0,0.0
2,2026-03-25 00:15:00,0.0,PRE_START,0.0,0.0,0.0
3,2026-03-25 00:30:00,0.0,PRE_START,0.0,0.0,0.0
4,2026-03-25 00:45:00,0.0,PRE_START,0.0,0.0,0.0
5,2026-03-25 01:00:00,0.0,PRE_START,0.0,0.0,0.0
6,2026-03-25 01:15:00,0.0,PRE_START,0.0,0.0,0.0
7,2026-03-25 01:30:00,0.0,PRE_START,0.0,0.0,0.0
8,2026-03-25 01:45:00,0.0,PRE_START,0.0,0.0,0.0
9,2026-03-25 02:00:00,0.0,PRE_START,0.0,0.0,0.0
10,2026-03-25 02:15:00,0.0,PRE_START,0.0,0.0,0.0
11,2026-03-25 02:30:00,0.0,PRE_START,0.0,0.0,0.0
12,2026-03-25 02:45:00,0.0,PRE_START,0.0,0.0,0.0
13,2026-03-25 03:00:00,0.0,PRE_START,0.0,0.0,0.0
14,2026-03-25 03:15:00,0.0,PRE_START,0.0,0.0,0.0
15,2026-03-25 03:30:00,0.0,PRE_START,0.0,0.0,0.0
16,2026-03-25 03:45:00,0.0,PRE_START,0.0,0.0,0.0
17,2026-03-25 04:00:00,0.0,PRE_START,0.0,0.0,0.0
18,2026-03-25 04:15:00,0.0,PRE_START,0.0,0.0,0.0
19,2026-03-25 04:30:00,0.0,PRE_START,0.0,0.0,0.0
20,2026-03-25 04:45:00,0.0,PRE_START,0.0,0.0,0.0
21,2026-03-25 05:00:00,0.0,PRE_START,0.0,0.0,0.0
22,2026-03-25 05:15:00,0.0,PRE_START,0.0,0.0,0.0
23,2026-03-25 05:30:00,0.0,PRE_START,0.0,0.0,0.0
24,2026-03-25 05:45:00,0.0,PRE_START,0.0,0.0,0.0
25,2026-03-25 06:00:00,0.0,PRE_START,0.0,0.0,0.0
26,2026-03-25 06:15:00,0.0,PRE_START,0.0,0.0,0.0
27,2026-03-25 06:30:00,0.0,PRE_START,0.0,0.0,0.01
28,2026-03-25 06:45:00,0.0,PRE_START,0.0,0.0,0.12
29,2026-03-25 07:00:00,0.0,PRE_START,0.0,0.0,0.34
30,2026-03-25 07:15:00,0.0,PRE_START,0.0,0.0,0.59
31,2026-03-25 07:30:00,0.0,PRE_START,0.0,0.0,0.86
32,2026-03-25 07:45:00,0.0,PRE_START,0.0,0.0,1.15
33,2026-03-25 08:00:00,1.593,ABRUPT_INCREASE,1.449,1.449,1.46
34,2026-03-25 08:15:00,1.951,ABRUPT_INCREASE,1.774,1.774,1.81
35,2026-03-25 08:30:00,2.23,CONDITION_3,2.078,2.078,2.12
36,2026-03-25 08:45:00,2.546,CONDITION_3,2.372,2.372,2.42
37,2026-03-25 09:00:00,2.902,CONDITION_3,2.626,2.626,2.68
38,2026-03-25 09:15:00,3.162,CONDITION_3,2.862,2.862,2.92
39,2026-03-25 09:30:00,3.389,CONDITION_3,3.067,3.067,3.13
40,2026-03-25 09:45:00,3.595,CONDITION_3,3.254,3.254,3.32
41,2026-03-25 10:00:00,3.758,CONDITION_3,3.401,3.401,3.47
42,2026-03-25 10:15:00,3.921,CONDITION_3,3.499,3.499,3.57
43,2026-03-25 10:30:00,4.02,CONDITION_3,3.587,3.587,3.66
44,2026-03-25 10:45:00,4.086,CONDITION_3,3.646,3.646,3.72
45,2026-03-25 11:00:00,4.163,CONDITION_3,3.714,3.714,3.79
46,2026-03-25 11:15:00,4.262,CONDITION_3,3.802,3.802,3.88
47,2026-03-25 11:30:00,4.147,CONDITION_3,3.802,3.802,3.88
48,2026-03-25 11:45:00,4.115,CONDITION_3,3.773,3.773,3.85
49,2026-03-25 12:00:00,3.836,CONDITION_3,3.724,3.724,3.8
50,2026-03-25 12:15:00,3.435,CONDITION_3,3.655,3.655,3.73
51,2026-03-25 12:30:00,3.508,CONDITION_3,3.734,3.734,3.81
52,2026-03-25 12:45:00,3.917,CONDITION_3,3.802,3.802,3.88
53,2026-03-25 13:00:00,4.053,CONDITION_3,3.822,3.822,3.9
54,2026-03-25 13:15:00,4.136,CONDITION_3,3.793,3.793,3.87
55,2026-03-25 13:30:00,3.806,CONDITION_3,3.695,3.695,3.77
56,2026-03-25 13:45:00,3.352,CONDITION_3,3.567,3.567,3.64
57,2026-03-25 14:00:00,3.024,CONDITION_3,3.43,3.43,3.5
58,2026-03-25 14:15:00,2.916,CONDITION_3,3.273,3.273,3.34
59,2026-03-25 14:30:00,2.715,CONDITION_3,3.067,3.067,3.13
60,2026-03-25 14:45:00,2.505,CONDITION_3,2.842,2.842,2.9
61,2026-03-25 15:00:00,2.309,CONDITION_3,2.626,2.626,2.68
62,2026-03-25 15:15:00,2.094,CONDITION_3,2.381,2.381,2.43
63,2026-03-25 15:30:00,1.921,CONDITION_3,2.146,2.146,2.19
64,2026-03-25 15:45:00,1.719,CONDITION_3,1.921,1.921,1.96
65,2026-03-25 16:00:00,1.509,CONDITION_3,1.686,1.686,1.72
66,2026-03-25 16:15:00,1.298,CONDITION_3,1.45,1.45,1.48
67,2026-03-25 16:30:00,1.171,CONDITION_3,1.264,1.264,1.29
68,2026-03-25 16:45:00,1.008,CONDITION_3,1.088,1.088,1.11
69,2026-03-25 17:00:00,0.85,CONDITION_3,0.902,0.902,0.92
70,2026-03-25 17:15:00,0.555,CONDITION_3,0.616,0.616,0.74
71,2026-03-25 17:30:00,0.405,CONDITION_3,0.45,0.45,0.54
72,2026-03-25 17:45:00,0.27,CONDITION_3,0.3,0.3,0.36
73,2026-03-25 18:00:00,0.15,CONDITION_3,0.167,0.167,0.2
74,2026-03-25 18:15:00,0.052,CONDITION_3,0.058,0.058,0.07
75,2026-03-25 18:30:00,0.0,CONDITION_3,0.0,0.0,0.0
76,2026-03-25 18:45:00,0.0,SUNSET_CLAMP,0.0,0.0,0.0
77,2026-03-25 19:00:00,0.0,SUNSET_CLAMP,0.0,0.0,0.0
78,2026-03-25 19:15:00,0.0,SUNSET_CLAMP,0.0,0.0,0.0
79,2026-03-25 19:30:00,0.0,SUNSET_CLAMP,0.0,0.0,0.0
80,2026-03-25 19:45:00,0.0,SUNSET_CLAMP,0.0,0.0,0.0
81,2026-03-25 20:00:00,0.0,SUNSET_CLAMP,0.0,0.0,0.0
82,2026-03-25 20:15:00,0.0,SUNSET_CLAMP,0.0,0.0,0.0
83,2026-03-25 20:30:00,0.0,SUNSET_CLAMP,0.0,0.0,0.0
84,2026-03-25 20:45:00,0.0,SUNSET_CLAMP,0.0,0.0,0.0
85,2026-03-25 21:00:00,0.0,SUNSET_CLAMP,0.0,0.0,0.0
86,2026-03-25 21:15:00,0.0,SUNSET_CLAMP,0.0,0.0,0.0
87,2026-03-25 21:30:00,0.0,SUNSET_CLAMP,0.0,0.0,0.0
88,2026-03-25 21:45:00,0.0,SUNSET_CLAMP,0.0,0.0,0.0
89,2026-03-25 22:00:00,0.0,SUNSET_CLAMP,0.0,0.0,0.0
90,2026-03-25 22:15:00,0.0,SUNSET_CLAMP,0.0,0.0,0.0
91,2026-03-25 22:30:00,0.0,SUNSET_CLAMP,0.0,0.0,0.0
92,2026-03-25 22:45:00,0.0,SUNSET_CLAMP,0.0,0.0,0.0
93,2026-03-25 23:00:00,0.0,SUNSET_CLAMP,0.0,0.0,0.0
94,2026-03-25 23:15:00,0.0,SUNSET_CLAMP,0.0,0.0,0.0
95,2026-03-25 23:30:00,0.0,SUNSET_CLAMP,0.0,0.0,0.0
96,2026-03-25 23:45:00,0.0,SUNSET_CLAMP,0.0,0.0,0.0
