block,IntradayForecast_mw,BaseForecast,EffectiveBaseForecast,algo_schedule_mw,Metered_mw,Vedanjay_Schedule,Maximum tolerable schedule,Minimum tolerable schedule
1,0.0,0.0,0.0,0.0,-0.04,,1.96,-2.04
2,0.0,0.0,0.0,0.0,-0.04,,1.96,-2.04
3,0.0,0.0,0.0,0.0,-0.04,,1.96,-2.04
4,0.0,0.0,0.0,0.0,-0.04,,1.96,-2.04
5,0.0,0.0,0.0,0.0,-0.04,,1.96,-2.04
6,0.0,0.0,0.0,0.0,-0.04,,1.96,-2.04
7,0.0,0.0,0.0,0.0,-0.04,,1.96,-2.04
8,0.0,0.0,0.0,0.0,-0.04,,1.96,-2.04
9,0.0,0.0,0.0,0.0,-0.04,,1.96,-2.04
10,0.0,0.0,0.0,0.0,-0.04,,1.96,-2.04
11,0.0,0.0,0.0,0.0,-0.04,,1.96,-2.04
12,0.0,0.0,0.0,0.0,-0.04,,1.96,-2.04
13,0.0,0.0,0.0,0.0,-0.04,,1.96,-2.04
14,0.0,0.0,0.0,0.0,-0.04,,1.96,-2.04
15,0.0,0.0,0.0,0.0,-0.04,,1.96,-2.04
16,0.0,0.0,0.0,0.0,-0.04,,1.96,-2.04
17,0.0,0.0,0.0,0.0,-0.04,,1.96,-2.04
18,0.0,0.0,0.0,0.0,-0.04,,1.96,-2.04
19,0.0,0.0,0.0,0.0,-0.04,,1.96,-2.04
20,0.0,0.0,0.0,0.0,-0.04,,1.96,-2.04
21,0.0,0.0,0.0,0.0,-0.04,,1.96,-2.04
22,0.0,0.0,0.0,0.0,-0.04,,1.96,-2.04
23,0.0,0.0,0.0,0.0,-0.04,,1.96,-2.04
24,0.0,0.0,0.0,0.0,-0.04,,1.96,-2.04
25,0.0,0.0,0.0,0.0,-0.04,,1.96,-2.04
26,0.0,0.0,0.0,0.0,-0.06,,1.94,-2.06
27,0.1,0.0,0.0,0.0,-0.06,,1.94,-2.06
28,0.8,0.0,0.0,0.0,0.03,,2.03,-1.97
29,1.77,0.0,0.0,0.0,0.57,,2.57,-1.4300000000000002
30,2.9,0.0,0.0,0.0,1.29,,3.29,-0.71
31,4.01,3.865,3.865,3.479,2.2,,4.2,0.20000000000000018
32,5.18,4.942,4.942,4.447,3.34,,5.34,1.3399999999999999
33,6.4,6.064,6.064,6.51,4.57,,6.57,2.5700000000000003
34,7.66,7.223,7.223,7.754,5.85,,7.85,3.8499999999999996
35,8.84,8.309,8.309,8.919,7.18,,9.18,5.18
36,10.01,9.385,9.385,10.371,8.45,,10.45,6.449999999999999
37,11.15,10.434,10.434,11.53,9.79,,11.79,7.789999999999999
38,12.27,11.464,11.464,12.668,10.86,,12.86,8.86
39,13.3,12.412,12.412,13.715,12.03,,14.03,10.03
40,14.29,13.323,13.323,14.722,13.04,,15.04,11.04
41,15.13,14.096,14.096,15.576,14.01,,16.009999999999998,12.01
42,15.81,14.721,14.721,16.499,14.85,,16.85,12.85
43,16.31,15.181,15.181,17.014,15.51,,17.509999999999998,13.51
44,16.74,15.577,15.577,17.458,16.13,,18.13,14.129999999999999
45,17.12,15.926,15.926,17.85,16.67,,18.67,14.670000000000002
46,17.41,16.193,16.193,18.149,16.97,,18.97,14.969999999999999
47,17.65,16.414,16.414,18.396,17.49,,19.49,15.489999999999998
48,17.82,16.57,16.57,18.071,17.27,,19.27,15.27
49,17.91,16.653,16.653,18.161,17.94,,19.94,15.940000000000001
50,17.94,16.681,16.681,17.688,9.66,,11.66,7.66
51,17.15,15.954,15.954,16.426,15.32,,17.32,13.32
52,16.23,15.108,15.108,14.213,18.13,,20.13,16.13
53,15.11,14.077,14.077,12.41,18.4,,20.4,16.4
54,13.81,12.881,12.881,11.355,15.59,,17.59,13.59
55,14.37,13.396,13.396,11.81,16.3,,18.3,14.3
56,14.79,13.783,13.783,12.15,17.04,,19.04,15.04
57,15.05,14.022,14.022,14.437,17.59,,19.59,15.59
58,15.17,14.132,14.132,15.839,14.2,,16.2,12.2
59,13.58,12.67,12.67,13.817,7.15,,9.15,5.15
60,11.95,11.17,11.17,9.821,12.79,,14.79,10.79
61,10.29,9.643,9.643,8.478,5.97,,7.97,3.9699999999999998
62,8.58,8.07,8.07,7.222,12.25,,14.25,10.25
63,8.28,7.794,7.794,7.0,10.75,,12.75,8.75
64,7.9,7.444,7.444,6.686,7.39,,9.39,5.39
65,7.39,6.975,6.975,6.264,7.45,,9.45,5.45
66,6.74,6.377,6.377,5.727,3.08,,5.08,1.08
67,5.93,5.632,5.632,5.058,1.75,,3.75,-0.25
68,5.13,4.896,4.896,4.547,3.7,,5.7,1.7000000000000002
69,4.31,4.141,4.141,3.846,5.62,,7.62,3.62
70,3.47,3.368,3.368,3.128,4.21,,6.21,2.21
71,2.48,2.458,2.458,2.277,3.2,,5.2,1.2000000000000002
72,1.63,1.676,1.676,1.579,2.25,,4.25,0.25
73,0.89,0.846,0.846,0.761,1.1,,3.1,-0.8999999999999999
74,0.21,0.314,0.314,0.282,0.22,,2.22,-1.78
75,0.0,0.15,0.15,0.135,-0.08,,1.92,-2.08
76,0.0,0.176,0.176,0.0,-0.06,,1.94,-2.06
77,0.0,0.176,0.176,0.0,-0.06,,1.94,-2.06
78,0.0,0.176,0.176,0.0,-0.04,,1.96,-2.04
79,0.0,0.176,0.176,0.0,-0.04,,1.96,-2.04
80,0.0,0.176,0.176,0.0,-0.04,,1.96,-2.04
81,0.0,0.176,0.176,0.0,-0.04,,1.96,-2.04
82,0.0,0.176,0.176,0.0,-0.04,,1.96,-2.04
83,0.0,0.176,0.176,0.0,-0.04,,1.96,-2.04
84,0.0,0.176,0.176,0.0,-0.04,,1.96,-2.04
85,0.0,0.176,0.176,0.0,-0.04,,1.96,-2.04
86,0.0,0.176,0.176,0.0,-0.04,,1.96,-2.04
87,0.0,0.176,0.176,0.0,-0.04,,1.96,-2.04
88,0.0,0.176,0.176,0.0,0.0,,2.0,-2.0
89,0.0,0.176,0.176,0.0,0.0,,2.0,-2.0
90,0.0,0.176,0.176,0.0,0.0,,2.0,-2.0
91,0.0,0.176,0.176,0.0,0.0,,2.0,-2.0
92,0.0,0.176,0.176,0.0,0.0,,2.0,-2.0
