block,IntradayForecast_mw,BaseForecast,EffectiveBaseForecast,algo_schedule_mw,Vedanjay_Schedule
1,0.0,0.0,0.0,0.0,
2,0.0,0.0,0.0,0.0,
3,0.0,0.0,0.0,0.0,
4,0.0,0.0,0.0,0.0,
5,0.0,0.0,0.0,0.0,
6,0.0,0.0,0.0,0.0,
7,0.0,0.0,0.0,0.0,
8,0.0,0.0,0.0,0.0,
9,0.0,0.0,0.0,0.0,
10,0.0,0.0,0.0,0.0,
11,0.0,0.0,0.0,0.0,
12,0.0,0.0,0.0,0.0,
13,0.0,0.0,0.0,0.0,
14,0.0,0.0,0.0,0.0,
15,0.0,0.0,0.0,0.0,
16,0.0,0.0,0.0,0.0,
17,0.0,0.0,0.0,0.0,
18,0.0,0.0,0.0,0.0,
19,0.0,0.0,0.0,0.0,
20,0.0,0.0,0.0,0.0,
21,0.0,0.0,0.0,0.0,
22,0.0,0.0,0.0,0.0,
23,0.0,0.0,0.0,0.0,
24,0.0,0.0,0.0,0.0,
25,0.0,0.0,0.0,0.0,
26,0.0,0.0,0.0,0.0,
27,0.0,0.0,0.0,0.0,
28,0.1,0.0,0.0,0.0,
29,0.63,0.0,0.0,0.0,
30,1.36,1.04,1.04,1.04,
31,2.19,1.675,1.675,1.675,
32,3.21,2.529,2.529,2.529,
33,4.36,3.532,3.532,3.532,
34,5.57,4.512,4.512,4.512,
35,6.73,6.109,6.109,6.109,
36,7.87,7.083,7.083,7.791,
37,8.97,8.073,8.073,8.88,
38,9.97,8.973,8.973,9.107,
39,10.9,9.81,9.81,9.956,
40,11.78,10.602,10.602,10.769,
41,12.55,11.295,11.295,11.483,
42,13.19,11.871,11.871,12.069,
43,13.78,12.402,12.402,12.672,
44,14.27,12.843,12.843,13.123,
45,14.69,13.221,13.221,13.509,
46,15.06,13.554,13.554,13.85,
47,15.36,13.824,13.824,14.125,
48,15.62,14.058,14.058,14.364,
49,15.82,14.238,14.238,14.548,
50,15.93,14.337,14.337,14.545,
51,15.98,14.382,14.382,14.487,
52,16.0,14.4,14.4,14.505,
53,15.91,14.319,14.319,14.319,
54,15.73,14.157,14.157,14.157,
55,15.5,13.95,13.95,13.95,
56,15.16,13.644,13.644,13.559,
57,14.77,13.293,13.293,13.128,
58,14.31,12.879,12.879,12.639,
59,13.79,12.411,12.411,12.179,
60,13.22,11.898,11.898,11.676,
61,12.64,11.376,11.376,11.164,
62,11.93,10.737,10.737,10.537,
63,11.15,10.035,10.035,9.892,
64,10.34,9.306,9.306,9.173,
65,9.41,8.469,8.469,8.348,
66,8.4,7.56,7.56,7.452,
67,7.32,6.588,6.588,6.494,
68,6.22,5.598,5.598,5.555,
69,5.1,4.59,4.59,4.549,
70,3.98,3.582,3.582,3.55,
71,2.91,2.619,2.619,2.595,
72,1.9,1.71,1.71,1.699,
73,1.01,0.773,0.773,0.749,
74,0.24,0.184,0.184,0.178,
75,0.0,0.0,0.0,0.0,
76,0.0,0.0,0.0,0.0,
77,0.0,0.0,0.0,0.0,
78,0.0,0.0,0.0,0.0,
79,0.0,0.0,0.0,0.0,
80,0.0,0.0,0.0,0.0,
81,0.0,0.0,0.0,0.0,
82,0.0,0.0,0.0,0.0,
83,0.0,0.0,0.0,0.0,
84,0.0,0.0,0.0,0.0,
85,0.0,0.0,0.0,0.0,
86,0.0,0.0,0.0,0.0,
87,0.0,0.0,0.0,0.0,
88,0.0,0.0,0.0,0.0,
89,0.0,0.0,0.0,0.0,
90,0.0,0.0,0.0,0.0,
91,0.0,0.0,0.0,0.0,
92,0.0,0.0,0.0,0.0,
93,0.0,0.0,0.0,0.0,
94,0.0,0.0,0.0,0.0,
95,0.0,0.0,0.0,0.0,
96,0.0,0.0,0.0,0.0,
