block,IntradayForecastRaw_mw,IntradayForecastScaled_mw,IntradayForecast_mw,BaseForecast,EffectiveBaseForecast,algo_schedule_mw,Vedanjay_Schedule
1,0.0,0.0,0.0,0.0,0.0,0.0,
2,0.0,0.0,0.0,0.0,0.0,0.0,
3,0.0,0.0,0.0,0.0,0.0,0.0,
4,0.0,0.0,0.0,0.0,0.0,0.0,
5,0.0,0.0,0.0,0.0,0.0,0.0,
6,0.0,0.0,0.0,0.0,0.0,0.0,
7,0.0,0.0,0.0,0.0,0.0,0.0,
8,0.0,0.0,0.0,0.0,0.0,0.0,
9,0.0,0.0,0.0,0.0,0.0,0.0,
10,0.0,0.0,0.0,0.0,0.0,0.0,
11,0.0,0.0,0.0,0.0,0.0,0.0,
12,0.0,0.0,0.0,0.0,0.0,0.0,
13,0.0,0.0,0.0,0.0,0.0,0.0,
14,0.0,0.0,0.0,0.0,0.0,0.0,
15,0.0,0.0,0.0,0.0,0.0,0.0,
16,0.0,0.0,0.0,0.0,0.0,0.0,
17,0.0,0.0,0.0,0.0,0.0,0.0,
18,0.0,0.0,0.0,0.0,0.0,0.0,
19,0.0,0.0,0.0,0.0,0.0,0.0,
20,0.0,0.0,0.0,0.0,0.0,0.0,
21,0.0,0.0,0.0,0.0,0.0,0.0,
22,0.0,0.0,0.0,0.0,0.0,0.0,
23,0.0,0.0,0.0,0.0,0.0,0.0,
24,0.0,0.0,0.0,0.0,0.0,0.0,
25,0.0,0.0,0.0,0.0,0.0,0.0,
26,0.0,0.0,0.0,0.0,0.0,0.0,
27,0.04,0.04,0.04,0.0,0.0,0.0,
28,0.39,0.39,0.39,0.0,0.0,0.0,
29,0.85,0.85,0.85,0.65,0.65,0.65,
30,1.58,1.58,1.58,1.209,1.209,1.209,
31,2.46,2.46,2.46,1.882,1.882,1.882,
32,3.45,3.45,3.45,3.127,3.127,3.127,
33,4.5,4.5,4.5,4.455,4.455,4.455,
34,5.61,5.61,5.61,5.554,5.554,5.554,
35,6.67,6.67,6.67,6.603,6.603,6.603,
36,7.71,7.71,7.71,7.01,7.01,7.01,
37,8.72,8.72,8.72,7.848,7.848,8.633,
38,9.67,9.67,9.67,8.703,8.703,9.573,
39,10.56,10.56,10.56,9.504,9.504,9.677,
40,11.41,11.41,11.41,10.269,10.269,10.456,
41,12.16,12.16,12.16,10.944,10.944,11.143,
42,12.79,12.79,12.79,11.511,11.511,11.779,
43,13.34,13.34,13.34,12.006,12.006,12.286,
44,13.81,13.81,13.81,12.429,12.429,12.718,
45,14.22,14.22,14.22,12.798,12.798,13.096,
46,14.56,14.56,14.56,13.104,13.104,13.409,
47,14.76,14.76,14.76,13.284,13.284,13.593,
48,14.91,14.91,14.91,13.419,13.419,13.732,
49,15.01,15.01,15.01,13.509,13.509,13.719,
50,15.02,15.02,15.02,13.518,13.518,13.623,
51,14.99,14.99,14.99,13.491,13.491,13.491,
52,14.92,14.92,14.92,13.428,13.428,13.428,
53,14.71,14.71,14.71,13.239,13.239,13.239,
54,14.35,14.35,14.35,12.915,12.915,12.915,
55,14.19,14.19,14.19,12.771,12.771,12.591,
56,13.9,13.9,13.9,12.51,12.51,12.334,
57,13.57,13.57,13.57,12.213,12.213,12.031,
58,13.15,13.15,13.15,11.835,11.835,11.659,
59,12.3,12.3,12.3,11.07,11.07,10.812,
60,11.41,11.41,11.41,10.269,10.269,10.03,
61,10.48,10.48,10.48,9.432,9.432,9.212,
62,9.49,9.49,9.49,8.541,8.541,8.406,
63,8.79,8.79,8.79,7.911,7.911,7.786,
64,8.06,8.06,8.06,7.254,7.254,7.139,
65,7.31,7.31,7.31,6.579,6.579,6.475,
66,6.53,6.53,6.53,5.877,5.877,5.784,
67,5.69,5.69,5.69,5.121,5.121,5.04,
68,4.92,4.92,4.92,4.428,4.428,4.389,
69,4.09,4.09,4.09,3.681,3.681,3.648,
70,3.27,3.27,3.27,2.943,2.943,2.917,
71,2.41,2.41,2.41,2.169,2.169,2.147,
72,1.6,1.6,1.6,1.44,1.44,1.43,
73,0.88,0.88,0.88,0.673,0.673,0.653,
74,0.3,0.3,0.3,0.23,0.23,0.223,
75,0.0,0.0,0.0,0.0,0.0,0.0,
76,0.0,0.0,0.0,0.0,0.0,0.0,
77,0.0,0.0,0.0,0.0,0.0,0.0,
78,0.0,0.0,0.0,0.0,0.0,0.0,
79,0.0,0.0,0.0,0.0,0.0,0.0,
80,0.0,0.0,0.0,0.0,0.0,0.0,
81,0.0,0.0,0.0,0.0,0.0,0.0,
82,0.0,0.0,0.0,0.0,0.0,0.0,
83,0.0,0.0,0.0,0.0,0.0,0.0,
84,0.0,0.0,0.0,0.0,0.0,0.0,
85,0.0,0.0,0.0,0.0,0.0,0.0,
86,0.0,0.0,0.0,0.0,0.0,0.0,
87,0.0,0.0,0.0,0.0,0.0,0.0,
88,0.0,0.0,0.0,0.0,0.0,0.0,
89,0.0,0.0,0.0,0.0,0.0,0.0,
90,0.0,0.0,0.0,0.0,0.0,0.0,
91,0.0,0.0,0.0,0.0,0.0,0.0,
92,0.0,0.0,0.0,0.0,0.0,0.0,
93,0.0,0.0,0.0,0.0,0.0,0.0,
94,0.0,0.0,0.0,0.0,0.0,0.0,
95,0.0,0.0,0.0,0.0,0.0,0.0,
96,0.0,0.0,0.0,0.0,0.0,0.0,
