"Schedule Template for MH_VEDANJAY and revision INTRADAY"
,"Scheduling entity",MH_VEDANJAY
,Date,2026-03-12
,"Revision No",INTRADAY

"POS Name","VSNL Dighi 220kV","VSNL Dighi 220kV","VSNL Dighi 220kV"
"Down Stream Name",,,"VSNL Dighi 220kV"
"Energy Type",,,SOLAR
"Contract ID",,,CONTRACT21424
"Contract Type",,,MTOA
"Exchange Type",,,NA
"Transaction Type",INTRA,INTRA,INTRA
"RE Generator Name",,,"VSNL Dighi 220kV"
Path,,,A-B
"Buyer Name",,,OA-MSEDCL
"STU Name",,,"VSNL Dighi 220kV"
"Approval Number",,,VSNLDighi/S/03/26/OA-MSEDCL
Capacity,4,4,4
Block,"Declared Forecast","Intra Avc",Schedule
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,0.01,4,0.01
29,0.18,4,0.18
30,0.37,4,0.37
31,0.58,4,0.58
32,0.78,4,0.78
33,0.99,4,0.99
34,1.21,4,1.21
35,1.42,4,1.42
36,1.62,4,1.62
37,1.81,4,1.81
38,2.01,4,2.01
39,2.08,4,2.08
40,2.24,4,2.24
41,2.38,4,2.38
42,2.51,4,2.51
43,2.61,4,2.61
44,2.7,4,2.7
45,2.78,4,2.78
46,2.85,4,2.85
47,2.91,4,2.91
48,2.95,4,2.95
49,2.98,4,2.98
50,2.99,4,2.99
51,2.86,4,2.86
52,2.86,4,2.86
53,2.83,4,2.83
54,2.76,4,2.76
55,2.73,4,2.73
56,2.67,4,2.67
57,2.41,4,2.41
58,2.33,4,2.33
59,2.25,4,2.25
60,2.28,4,2.28
61,2.28,4,2.28
62,2.15,4,2.15
63,1.7,4,1.7
64,1.54,4,1.54
65,1.37,4,1.37
66,1.17,4,1.17
67,0.98,4,0.98
68,0.78,4,0.78
69,0.61,4,0.61
70,0.42,4,0.42
71,0.36,4,0.36
72,0.28,4,0.28
73,0.16,4,0.16
74,0,4,0
75,0,0,0
76,0,0,0
77,0,0,0
78,0,0,0
79,0,0,0
80,0,0,0
81,0,0,0
82,0,0,0
83,0,0,0
84,0,0,0
85,0,0,0
86,0,0,0
87,0,0,0
88,0,0,0
89,0,0,0
90,0,0,0
91,0,0,0
92,0,0,0
93,0,0,0
94,0,0,0
95,0,0,0
96,0,0,0
