block,timestamp,algo_schedule_mw,condition_used,BaseForecast,EffectiveBaseForecast,IntradayForecastRaw_mw,IntradayForecastScaled_mw,IntradayForecast_mw
1,2026-03-13 00:00:00,0.0,PRE_START,0.0,0.0,0.0,0.0,0.0
2,2026-03-13 00:15:00,0.0,PRE_START,0.0,0.0,0.0,0.0,0.0
3,2026-03-13 00:30:00,0.0,PRE_START,0.0,0.0,0.0,0.0,0.0
4,2026-03-13 00:45:00,0.0,PRE_START,0.0,0.0,0.0,0.0,0.0
5,2026-03-13 01:00:00,0.0,PRE_START,0.0,0.0,0.0,0.0,0.0
6,2026-03-13 01:15:00,0.0,PRE_START,0.0,0.0,0.0,0.0,0.0
7,2026-03-13 01:30:00,0.0,PRE_START,0.0,0.0,0.0,0.0,0.0
8,2026-03-13 01:45:00,0.0,PRE_START,0.0,0.0,0.0,0.0,0.0
9,2026-03-13 02:00:00,0.0,PRE_START,0.0,0.0,0.0,0.0,0.0
10,2026-03-13 02:15:00,0.0,PRE_START,0.0,0.0,0.0,0.0,0.0
11,2026-03-13 02:30:00,0.0,PRE_START,0.0,0.0,0.0,0.0,0.0
12,2026-03-13 02:45:00,0.0,PRE_START,0.0,0.0,0.0,0.0,0.0
13,2026-03-13 03:00:00,0.0,PRE_START,0.0,0.0,0.0,0.0,0.0
14,2026-03-13 03:15:00,0.0,PRE_START,0.0,0.0,0.0,0.0,0.0
15,2026-03-13 03:30:00,0.0,PRE_START,0.0,0.0,0.0,0.0,0.0
16,2026-03-13 03:45:00,0.0,PRE_START,0.0,0.0,0.0,0.0,0.0
17,2026-03-13 04:00:00,0.0,PRE_START,0.0,0.0,0.0,0.0,0.0
18,2026-03-13 04:15:00,0.0,PRE_START,0.0,0.0,0.0,0.0,0.0
19,2026-03-13 04:30:00,0.0,PRE_START,0.0,0.0,0.0,0.0,0.0
20,2026-03-13 04:45:00,0.0,PRE_START,0.0,0.0,0.0,0.0,0.0
21,2026-03-13 05:00:00,0.0,PRE_START,0.0,0.0,0.0,0.0,0.0
22,2026-03-13 05:15:00,0.0,PRE_START,0.0,0.0,0.0,0.0,0.0
23,2026-03-13 05:30:00,0.0,PRE_START,0.0,0.0,0.0,0.0,0.0
24,2026-03-13 05:45:00,0.0,PRE_START,0.0,0.0,0.0,0.0,0.0
25,2026-03-13 06:00:00,0.0,PRE_START,0.0,0.0,0.0,0.0,0.0
26,2026-03-13 06:15:00,0.0,PRE_START,0.0,0.0,0.0,0.0,0.0
27,2026-03-13 06:30:00,0.0,PRE_START,0.0,0.0,0.0,0.0,0.0
28,2026-03-13 06:45:00,0.0,PRE_START,0.0,0.0,0.01,0.008,0.008
29,2026-03-13 07:00:00,0.0,PRE_START,0.0,0.0,0.25,0.2,0.2
30,2026-03-13 07:15:00,0.289,CONDITION_3,0.289,0.289,0.5,0.4,0.4
31,2026-03-13 07:30:00,0.451,CONDITION_3,0.451,0.451,0.78,0.624,0.624
32,2026-03-13 07:45:00,0.625,CONDITION_3,0.607,0.607,1.05,0.84,0.84
33,2026-03-13 08:00:00,0.906,CONDITION_3,0.898,0.898,1.32,1.056,1.056
34,2026-03-13 08:15:00,1.105,CONDITION_3,1.095,1.095,1.61,1.288,1.288
35,2026-03-13 08:30:00,1.29,CONDITION_3,1.278,1.278,1.88,1.504,1.504
36,2026-03-13 08:45:00,1.475,CONDITION_3,1.462,1.462,2.15,1.72,1.72
37,2026-03-13 09:00:00,1.666,CONDITION_3,1.639,1.639,2.41,1.928,1.928
38,2026-03-13 09:15:00,1.839,CONDITION_3,1.809,1.809,2.66,2.128,2.128
39,2026-03-13 09:30:00,2.005,CONDITION_3,1.972,1.972,2.9,2.32,2.32
40,2026-03-13 09:45:00,2.157,CONDITION_3,2.122,2.122,3.12,2.496,2.496
41,2026-03-13 10:00:00,2.295,CONDITION_3,2.258,2.258,3.32,2.656,2.656
42,2026-03-13 10:15:00,2.413,CONDITION_3,2.373,2.373,3.49,2.792,2.792
43,2026-03-13 10:30:00,2.522,CONDITION_3,2.468,2.468,3.63,2.904,2.904
44,2026-03-13 10:45:00,2.613,CONDITION_3,2.557,2.557,3.76,3.008,3.008
45,2026-03-13 11:00:00,2.689,CONDITION_3,2.632,2.632,3.87,3.096,3.096
46,2026-03-13 11:15:00,2.758,CONDITION_3,2.7,2.7,3.97,3.176,3.176
47,2026-03-13 11:30:00,2.814,CONDITION_3,2.754,2.754,4.05,3.24,3.24
48,2026-03-13 11:45:00,2.856,CONDITION_3,2.795,2.795,4.11,3.288,3.288
49,2026-03-13 12:00:00,2.884,CONDITION_3,2.822,2.822,4.15,3.32,3.32
50,2026-03-13 12:15:00,2.884,CONDITION_3,2.842,2.842,4.18,3.344,3.344
51,2026-03-13 12:30:00,2.87,CONDITION_3,2.849,2.849,4.19,3.352,3.352
52,2026-03-13 12:45:00,2.849,CONDITION_3,2.849,2.849,4.19,3.352,3.352
53,2026-03-13 13:00:00,2.836,CONDITION_3,2.836,2.836,4.17,3.336,3.336
54,2026-03-13 13:15:00,2.795,CONDITION_3,2.795,2.795,4.11,3.288,3.288
55,2026-03-13 13:30:00,2.74,CONDITION_3,2.74,2.74,4.03,3.224,3.224
56,2026-03-13 13:45:00,2.671,CONDITION_3,2.686,2.686,3.95,3.16,3.16
57,2026-03-13 14:00:00,2.586,CONDITION_3,2.611,2.611,3.84,3.072,3.072
58,2026-03-13 14:15:00,2.481,CONDITION_3,2.523,2.523,3.71,2.968,2.968
59,2026-03-13 14:30:00,2.394,CONDITION_3,2.434,2.434,3.58,2.864,2.864
60,2026-03-13 14:45:00,2.287,CONDITION_3,2.326,2.326,3.42,2.736,2.736
61,2026-03-13 15:00:00,2.166,CONDITION_3,2.203,2.203,3.24,2.592,2.592
62,2026-03-13 15:15:00,2.046,CONDITION_3,2.081,2.081,3.06,2.448,2.448
63,2026-03-13 15:30:00,1.913,CONDITION_3,1.938,1.938,2.85,2.28,2.28
64,2026-03-13 15:45:00,1.766,CONDITION_3,1.788,1.788,2.63,2.104,2.104
65,2026-03-13 16:00:00,1.604,CONDITION_3,1.625,1.625,2.39,1.912,1.912
66,2026-03-13 16:15:00,1.423,CONDITION_3,1.442,1.442,2.12,1.696,1.696
67,2026-03-13 16:30:00,1.242,CONDITION_3,1.258,1.258,1.85,1.48,1.48
68,2026-03-13 16:45:00,1.069,CONDITION_3,1.081,1.081,1.59,1.272,1.272
69,2026-03-13 17:00:00,0.891,CONDITION_3,0.898,0.898,1.32,1.056,1.056
70,2026-03-13 17:15:00,0.716,CONDITION_3,0.721,0.721,1.06,0.848,0.848
71,2026-03-13 17:30:00,0.54,CONDITION_3,0.544,0.544,0.8,0.64,0.64
72,2026-03-13 17:45:00,0.379,CONDITION_3,0.381,0.381,0.56,0.448,0.448
73,2026-03-13 18:00:00,0.185,CONDITION_3,0.191,0.191,0.33,0.264,0.264
74,2026-03-13 18:15:00,0.078,CONDITION_3,0.081,0.081,0.14,0.112,0.112
75,2026-03-13 18:30:00,0.0,CONDITION_3,0.0,0.0,0.0,0.0,0.0
76,2026-03-13 18:45:00,0.0,SUNSET_CLAMP,0.0,0.0,0.0,0.0,0.0
77,2026-03-13 19:00:00,0.0,SUNSET_CLAMP,0.0,0.0,0.0,0.0,0.0
78,2026-03-13 19:15:00,0.0,SUNSET_CLAMP,0.0,0.0,0.0,0.0,0.0
79,2026-03-13 19:30:00,0.0,SUNSET_CLAMP,0.0,0.0,0.0,0.0,0.0
80,2026-03-13 19:45:00,0.0,SUNSET_CLAMP,0.0,0.0,0.0,0.0,0.0
81,2026-03-13 20:00:00,0.0,SUNSET_CLAMP,0.0,0.0,0.0,0.0,0.0
82,2026-03-13 20:15:00,0.0,SUNSET_CLAMP,0.0,0.0,0.0,0.0,0.0
