"Schedule Template for MH_VEDANJAY and revision INTRADAY"
,"Scheduling entity",MH_VEDANJAY
,Date,2026-03-13
,"Revision No",INTRADAY

"POS Name","VSNL Dighi 220kV","VSNL Dighi 220kV","VSNL Dighi 220kV"
"Down Stream Name",,,"VSNL Dighi 220kV"
"Energy Type",,,SOLAR
"Contract ID",,,CONTRACT21424
"Contract Type",,,MTOA
"Exchange Type",,,NA
"Transaction Type",INTRA,INTRA,INTRA
"RE Generator Name",,,"VSNL Dighi 220kV"
Path,,,A-B
"Buyer Name",,,OA-MSEDCL
"STU Name",,,"VSNL Dighi 220kV"
"Approval Number",,,VSNLDighi/S/03/26/OA-MSEDCL
Capacity,4,4,4
Block,"Declared Forecast","Intra Avc",Schedule
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,4,0
27,0,4,0
28,0.01,4,0.01
29,0.17,4,0.17
30,0.35,4,0.35
31,0.53,4,0.53
32,0.71,4,0.71
33,0.9,4,0.9
34,1.11,4,1.11
35,1.28,4,1.28
36,1.46,4,1.46
37,1.64,4,1.64
38,1.81,4,1.81
39,1.97,4,1.97
40,2.13,4,2.13
41,2.26,4,2.26
42,2.36,4,2.36
43,2.47,4,2.47
44,2.55,4,2.55
45,2.63,4,2.63
46,2.69,4,2.69
47,2.75,4,2.75
48,2.79,4,2.79
49,2.81,4,2.81
50,2.84,4,2.84
51,3.11,4,3.11
52,3.1,4,3.1
53,3.07,4,3.07
54,3,4,3
55,2.95,4,2.95
56,2.9,4,2.9
57,2.83,4,2.83
58,2.73,4,2.73
59,2.64,4,2.64
60,2.53,4,2.53
61,2.4,4,2.4
62,2.27,4,2.27
63,2.11,4,2.11
64,1.95,4,1.95
65,1.77,4,1.77
66,1.57,4,1.57
67,1.36,4,1.36
68,1.05,4,1.05
69,0.87,4,0.87
70,0.7,4,0.7
71,0.53,4,0.53
72,0.36,4,0.36
73,0.21,4,0.21
74,0.09,4,0.09
75,0,4,0
76,0,0,0
77,0,0,0
78,0,0,0
79,0,0,0
80,0,0,0
81,0,0,0
82,0,0,0
83,0,0,0
84,0,0,0
85,0,0,0
86,0,0,0
87,0,0,0
88,0,0,0
89,0,0,0
90,0,0,0
91,0,0,0
92,0,0,0
93,0,0,0
94,0,0,0
95,0,0,0
96,0,0,0
