Block,Time,System Schedule (MW),Vedanjay Schedule (MW),Diff (MW),Abs Diff (MW),Diff % of System
1,00:00,0.000,0.000,0.000,0.000,
2,00:15,0.000,0.000,0.000,0.000,
3,00:30,0.000,0.000,0.000,0.000,
4,00:45,0.000,0.000,0.000,0.000,
5,01:00,0.000,0.000,0.000,0.000,
6,01:15,0.000,0.000,0.000,0.000,
7,01:30,0.000,0.000,0.000,0.000,
8,01:45,0.000,0.000,0.000,0.000,
9,02:00,0.000,0.000,0.000,0.000,
10,02:15,0.000,0.000,0.000,0.000,
11,02:30,0.000,0.000,0.000,0.000,
12,02:45,0.000,0.000,0.000,0.000,
13,03:00,0.000,0.000,0.000,0.000,
14,03:15,0.000,0.000,0.000,0.000,
15,03:30,0.000,0.000,0.000,0.000,
16,03:45,0.000,0.000,0.000,0.000,
17,04:00,0.000,0.000,0.000,0.000,
18,04:15,0.000,0.000,0.000,0.000,
19,04:30,0.000,0.000,0.000,0.000,
20,04:45,0.000,0.000,0.000,0.000,
21,05:00,0.000,0.000,0.000,0.000,
22,05:15,0.000,0.000,0.000,0.000,
23,05:30,0.000,0.000,0.000,0.000,
24,05:45,0.000,0.000,0.000,0.000,
25,06:00,0.000,0.000,0.000,0.000,
26,06:15,0.000,0.000,0.000,0.000,
27,06:30,0.000,0.000,0.000,0.000,
28,06:45,0.000,0.150,0.150,0.150,
29,07:00,0.000,0.690,0.690,0.690,
30,07:15,1.079,1.410,0.331,0.331,30.68
31,07:30,1.706,2.230,0.524,0.524,30.72
32,07:45,2.561,3.250,0.689,0.689,26.90
33,08:00,3.966,4.370,0.404,0.404,10.19
34,08:15,5.056,5.520,0.464,0.464,9.18
35,08:30,6.048,6.640,0.592,0.592,9.79
36,08:45,7.010,7.730,0.720,0.720,10.27
37,09:00,7.988,8.790,0.802,0.802,10.04
38,09:15,8.876,9.770,0.894,0.894,10.07
39,09:30,9.708,10.680,0.972,0.972,10.01
40,09:45,10.477,11.530,1.053,1.053,10.05
41,10:00,11.163,12.300,1.137,1.137,10.19
42,10:15,11.767,12.960,1.193,1.193,10.14
43,10:30,12.369,13.540,1.171,1.171,9.47
44,10:45,12.829,14.040,1.211,1.211,9.44
45,11:00,13.233,14.480,1.247,1.247,9.42
46,11:15,13.583,14.860,1.277,1.277,9.40
47,11:30,13.877,14.270,0.393,0.393,2.83
48,11:45,14.125,14.510,0.385,0.385,2.73
49,12:00,14.319,14.720,0.401,0.401,2.80
50,12:15,14.335,14.830,0.495,0.495,3.45
51,12:30,14.379,14.900,0.521,0.521,3.62
52,12:45,14.327,14.920,0.593,0.593,4.14
53,13:00,14.193,14.860,0.667,0.667,4.70
54,13:15,14.058,14.720,0.662,0.662,4.71
55,13:30,13.869,14.510,0.641,0.641,4.62
56,13:45,13.514,14.220,0.706,0.706,5.22
57,14:00,13.119,13.870,0.751,0.751,5.72
58,14:15,12.746,13.470,0.724,0.724,5.68
59,14:30,12.232,13.000,0.768,0.768,6.28
60,14:45,11.756,12.500,0.744,0.744,6.33
61,15:00,11.226,11.940,0.714,0.714,6.36
62,15:15,10.625,11.290,0.665,0.665,6.26
63,15:30,9.998,10.580,0.582,0.582,5.82
64,15:45,9.280,9.810,0.530,0.530,5.71
65,16:00,8.464,8.950,0.486,0.486,5.74
66,16:15,7.576,8.010,0.434,0.434,5.73
67,16:30,6.600,6.990,0.390,0.390,5.91
68,16:45,5.644,5.940,0.296,0.296,5.24
69,17:00,4.626,4.880,0.254,0.254,5.49
70,17:15,3.608,3.810,0.202,0.202,5.60
71,17:30,2.640,2.790,0.150,0.150,5.68
72,17:45,1.726,1.810,0.084,0.084,4.87
73,18:00,0.764,0.970,0.206,0.206,26.96
74,18:15,0.171,0.220,0.049,0.049,28.65
75,18:30,0.000,0.000,0.000,0.000,
76,18:45,0.000,0.000,0.000,0.000,
77,19:00,0.000,0.000,0.000,0.000,
78,19:15,0.000,0.000,0.000,0.000,
79,19:30,0.000,0.000,0.000,0.000,
80,19:45,0.000,0.000,0.000,0.000,
81,20:00,0.000,0.000,0.000,0.000,
82,20:15,0.000,0.000,0.000,0.000,
83,20:30,0.000,0.000,0.000,0.000,
84,20:45,0.000,0.000,0.000,0.000,
85,21:00,0.000,0.000,0.000,0.000,
86,21:15,0.000,0.000,0.000,0.000,
87,21:30,0.000,0.000,0.000,0.000,
88,21:45,0.000,0.000,0.000,0.000,
89,22:00,0.000,0.000,0.000,0.000,
90,22:15,0.000,0.000,0.000,0.000,
91,22:30,0.000,0.000,0.000,0.000,
92,22:45,0.000,0.000,0.000,0.000,
93,23:00,0.000,0.000,0.000,0.000,
94,23:15,0.000,0.000,0.000,0.000,
95,23:30,0.000,0.000,0.000,0.000,
96,23:45,0.000,0.000,0.000,0.000,
