block,timestamp,algo_schedule_mw,condition_used,BaseForecast,EffectiveBaseForecast,IntradayForecastRaw_mw,IntradayForecastScaled_mw,IntradayForecast_mw
1,2026-03-13 00:00:00,0.0,PRE_START,0.0,0.0,0.0,0.0,0.0
2,2026-03-13 00:15:00,0.0,PRE_START,0.0,0.0,0.0,0.0,0.0
3,2026-03-13 00:30:00,0.0,PRE_START,0.0,0.0,0.0,0.0,0.0
4,2026-03-13 00:45:00,0.0,PRE_START,0.0,0.0,0.0,0.0,0.0
5,2026-03-13 01:00:00,0.0,PRE_START,0.0,0.0,0.0,0.0,0.0
6,2026-03-13 01:15:00,0.0,PRE_START,0.0,0.0,0.0,0.0,0.0
7,2026-03-13 01:30:00,0.0,PRE_START,0.0,0.0,0.0,0.0,0.0
8,2026-03-13 01:45:00,0.0,PRE_START,0.0,0.0,0.0,0.0,0.0
9,2026-03-13 02:00:00,0.0,PRE_START,0.0,0.0,0.0,0.0,0.0
10,2026-03-13 02:15:00,0.0,PRE_START,0.0,0.0,0.0,0.0,0.0
11,2026-03-13 02:30:00,0.0,PRE_START,0.0,0.0,0.0,0.0,0.0
12,2026-03-13 02:45:00,0.0,PRE_START,0.0,0.0,0.0,0.0,0.0
13,2026-03-13 03:00:00,0.0,PRE_START,0.0,0.0,0.0,0.0,0.0
14,2026-03-13 03:15:00,0.0,PRE_START,0.0,0.0,0.0,0.0,0.0
15,2026-03-13 03:30:00,0.0,PRE_START,0.0,0.0,0.0,0.0,0.0
16,2026-03-13 03:45:00,0.0,PRE_START,0.0,0.0,0.0,0.0,0.0
17,2026-03-13 04:00:00,0.0,PRE_START,0.0,0.0,0.0,0.0,0.0
18,2026-03-13 04:15:00,0.0,PRE_START,0.0,0.0,0.0,0.0,0.0
19,2026-03-13 04:30:00,0.0,PRE_START,0.0,0.0,0.0,0.0,0.0
20,2026-03-13 04:45:00,0.0,PRE_START,0.0,0.0,0.0,0.0,0.0
21,2026-03-13 05:00:00,0.0,PRE_START,0.0,0.0,0.0,0.0,0.0
22,2026-03-13 05:15:00,0.0,PRE_START,0.0,0.0,0.0,0.0,0.0
23,2026-03-13 05:30:00,0.0,PRE_START,0.0,0.0,0.0,0.0,0.0
24,2026-03-13 05:45:00,0.0,PRE_START,0.0,0.0,0.0,0.0,0.0
25,2026-03-13 06:00:00,0.0,PRE_START,0.0,0.0,0.0,0.0,0.0
26,2026-03-13 06:15:00,0.0,PRE_START,0.0,0.0,0.0,0.0,0.0
27,2026-03-13 06:30:00,0.0,PRE_START,0.0,0.0,0.0,0.0,0.0
28,2026-03-13 06:45:00,0.0,PRE_START,0.0,0.0,0.1,0.1,0.1
29,2026-03-13 07:00:00,0.0,PRE_START,0.0,0.0,0.63,0.63,0.63
30,2026-03-13 07:15:00,1.056,CONDITION_3,1.056,1.056,1.38,1.38,1.38
31,2026-03-13 07:30:00,1.691,CONDITION_3,1.691,1.691,2.21,2.21,2.21
32,2026-03-13 07:45:00,2.553,CONDITION_3,2.479,2.479,3.24,3.24,3.24
33,2026-03-13 08:00:00,3.994,CONDITION_3,3.96,3.96,4.4,4.4,4.4
34,2026-03-13 08:15:00,5.165,CONDITION_3,5.121,5.121,5.69,5.69,5.69
35,2026-03-13 08:30:00,6.199,CONDITION_3,6.147,6.147,6.83,6.83,6.83
36,2026-03-13 08:45:00,7.207,CONDITION_3,7.146,7.146,7.94,7.94,7.94
37,2026-03-13 09:00:00,8.228,CONDITION_3,8.1,8.1,9.0,9.0,9.0
38,2026-03-13 09:15:00,9.133,CONDITION_3,8.991,8.991,9.99,9.99,9.99
39,2026-03-13 09:30:00,9.983,CONDITION_3,9.828,9.828,10.92,10.92,10.92
40,2026-03-13 09:45:00,10.788,CONDITION_3,10.62,10.62,11.8,11.8,11.8
41,2026-03-13 10:00:00,11.502,CONDITION_3,11.313,11.313,12.57,12.57,12.57
42,2026-03-13 10:15:00,12.087,CONDITION_3,11.889,11.889,13.21,13.21,13.21
43,2026-03-13 10:30:00,12.682,CONDITION_3,12.411,12.411,13.79,13.79,13.79
44,2026-03-13 10:45:00,13.132,CONDITION_3,12.852,12.852,14.28,14.28,14.28
45,2026-03-13 11:00:00,13.528,CONDITION_3,13.239,13.239,14.71,14.71,14.71
46,2026-03-13 11:15:00,13.859,CONDITION_3,13.563,13.563,15.07,15.07,15.07
47,2026-03-13 11:30:00,14.144,CONDITION_3,13.842,13.842,15.38,15.38,15.38
48,2026-03-13 11:45:00,14.374,CONDITION_3,14.067,14.067,15.63,15.63,15.63
49,2026-03-13 12:00:00,14.558,CONDITION_3,14.247,14.247,15.83,15.83,15.83
50,2026-03-13 12:15:00,14.555,CONDITION_3,14.346,14.346,15.94,15.94,15.94
51,2026-03-13 12:30:00,14.496,CONDITION_3,14.391,14.391,15.99,15.99,15.99
52,2026-03-13 12:45:00,14.505,CONDITION_3,14.4,14.4,16.0,16.0,16.0
53,2026-03-13 13:00:00,14.328,CONDITION_3,14.328,14.328,15.92,15.92,15.92
54,2026-03-13 13:15:00,14.166,CONDITION_3,14.166,14.166,15.74,15.74,15.74
55,2026-03-13 13:30:00,13.959,CONDITION_3,13.959,13.959,15.51,15.51,15.51
56,2026-03-13 13:45:00,13.577,CONDITION_3,13.662,13.662,15.18,15.18,15.18
57,2026-03-13 14:00:00,13.145,CONDITION_3,13.311,13.311,14.79,14.79,14.79
58,2026-03-13 14:15:00,12.665,CONDITION_3,12.906,12.906,14.34,14.34,14.34
59,2026-03-13 14:30:00,12.224,CONDITION_3,12.456,12.456,13.84,13.84,13.84
60,2026-03-13 14:45:00,11.72,CONDITION_3,11.943,11.943,13.27,13.27,13.27
61,2026-03-13 15:00:00,11.208,CONDITION_3,11.421,11.421,12.69,12.69,12.69
62,2026-03-13 15:15:00,10.581,CONDITION_3,10.782,10.782,11.98,11.98,11.98
63,2026-03-13 15:30:00,9.945,CONDITION_3,10.089,10.089,11.21,11.21,11.21
64,2026-03-13 15:45:00,9.209,CONDITION_3,9.342,9.342,10.38,10.38,10.38
65,2026-03-13 16:00:00,8.393,CONDITION_3,8.514,8.514,9.46,9.46,9.46
66,2026-03-13 16:15:00,7.479,CONDITION_3,7.587,7.587,8.43,8.43,8.43
67,2026-03-13 16:30:00,6.521,CONDITION_3,6.615,6.615,7.35,7.35,7.35
68,2026-03-13 16:45:00,5.566,CONDITION_3,5.616,5.616,6.24,6.24,6.24
69,2026-03-13 17:00:00,4.567,CONDITION_3,4.608,4.608,5.12,5.12,5.12
70,2026-03-13 17:15:00,3.568,CONDITION_3,3.6,3.6,4.0,4.0,4.0
71,2026-03-13 17:30:00,2.604,CONDITION_3,2.628,2.628,2.92,2.92,2.92
72,2026-03-13 17:45:00,1.708,CONDITION_3,1.719,1.719,1.91,1.91,1.91
73,2026-03-13 18:00:00,0.757,CONDITION_3,0.78,0.78,1.02,1.02,1.02
74,2026-03-13 18:15:00,0.178,CONDITION_3,0.184,0.184,0.24,0.24,0.24
75,2026-03-13 18:30:00,0.0,CONDITION_3,0.0,0.0,0.0,0.0,0.0
76,2026-03-13 18:45:00,0.0,SUNSET_CLAMP,0.0,0.0,0.0,0.0,0.0
77,2026-03-13 19:00:00,0.0,SUNSET_CLAMP,0.0,0.0,0.0,0.0,0.0
78,2026-03-13 19:15:00,0.0,SUNSET_CLAMP,0.0,0.0,0.0,0.0,0.0
79,2026-03-13 19:30:00,0.0,SUNSET_CLAMP,0.0,0.0,0.0,0.0,0.0
80,2026-03-13 19:45:00,0.0,SUNSET_CLAMP,0.0,0.0,0.0,0.0,0.0
81,2026-03-13 20:00:00,0.0,SUNSET_CLAMP,0.0,0.0,0.0,0.0,0.0
82,2026-03-13 20:15:00,0.0,SUNSET_CLAMP,0.0,0.0,0.0,0.0,0.0
