block,timestamp,algo_schedule_mw,condition_used,BaseForecast,EffectiveBaseForecast,IntradayForecastRaw_mw,IntradayForecastScaled_mw,IntradayForecast_mw
1,2026-03-13 00:00:00,0.0,PRE_START,0.0,0.0,0.0,0.0,0.0
2,2026-03-13 00:15:00,0.0,PRE_START,0.0,0.0,0.0,0.0,0.0
3,2026-03-13 00:30:00,0.0,PRE_START,0.0,0.0,0.0,0.0,0.0
4,2026-03-13 00:45:00,0.0,PRE_START,0.0,0.0,0.0,0.0,0.0
5,2026-03-13 01:00:00,0.0,PRE_START,0.0,0.0,0.0,0.0,0.0
6,2026-03-13 01:15:00,0.0,PRE_START,0.0,0.0,0.0,0.0,0.0
7,2026-03-13 01:30:00,0.0,PRE_START,0.0,0.0,0.0,0.0,0.0
8,2026-03-13 01:45:00,0.0,PRE_START,0.0,0.0,0.0,0.0,0.0
9,2026-03-13 02:00:00,0.0,PRE_START,0.0,0.0,0.0,0.0,0.0
10,2026-03-13 02:15:00,0.0,PRE_START,0.0,0.0,0.0,0.0,0.0
11,2026-03-13 02:30:00,0.0,PRE_START,0.0,0.0,0.0,0.0,0.0
12,2026-03-13 02:45:00,0.0,PRE_START,0.0,0.0,0.0,0.0,0.0
13,2026-03-13 03:00:00,0.0,PRE_START,0.0,0.0,0.0,0.0,0.0
14,2026-03-13 03:15:00,0.0,PRE_START,0.0,0.0,0.0,0.0,0.0
15,2026-03-13 03:30:00,0.0,PRE_START,0.0,0.0,0.0,0.0,0.0
16,2026-03-13 03:45:00,0.0,PRE_START,0.0,0.0,0.0,0.0,0.0
17,2026-03-13 04:00:00,0.0,PRE_START,0.0,0.0,0.0,0.0,0.0
18,2026-03-13 04:15:00,0.0,PRE_START,0.0,0.0,0.0,0.0,0.0
19,2026-03-13 04:30:00,0.0,PRE_START,0.0,0.0,0.0,0.0,0.0
20,2026-03-13 04:45:00,0.0,PRE_START,0.0,0.0,0.0,0.0,0.0
21,2026-03-13 05:00:00,0.0,PRE_START,0.0,0.0,0.0,0.0,0.0
22,2026-03-13 05:15:00,0.0,PRE_START,0.0,0.0,0.0,0.0,0.0
23,2026-03-13 05:30:00,0.0,PRE_START,0.0,0.0,0.0,0.0,0.0
24,2026-03-13 05:45:00,0.0,PRE_START,0.0,0.0,0.0,0.0,0.0
25,2026-03-13 06:00:00,0.0,PRE_START,0.0,0.0,0.0,0.0,0.0
26,2026-03-13 06:15:00,0.0,PRE_START,0.0,0.0,0.0,0.0,0.0
27,2026-03-13 06:30:00,0.0,PRE_START,0.0,0.0,0.0,0.0,0.0
28,2026-03-13 06:45:00,0.0,PRE_START,0.0,0.0,0.6,0.6,0.6
29,2026-03-13 07:00:00,0.0,PRE_START,0.0,0.0,1.68,1.68,1.68
30,2026-03-13 07:15:00,2.387,CONDITION_3,2.387,2.387,3.02,3.02,3.02
31,2026-03-13 07:30:00,3.407,CONDITION_3,3.407,3.407,4.31,4.31,4.31
32,2026-03-13 07:45:00,5.307,CONDITION_3,5.273,5.273,5.67,5.67,5.67
33,2026-03-13 08:00:00,6.672,CONDITION_3,6.612,6.612,7.11,7.11,7.11
34,2026-03-13 08:15:00,8.07,CONDITION_3,7.998,7.998,8.6,8.6,8.6
35,2026-03-13 08:30:00,9.374,CONDITION_3,9.291,9.291,9.99,9.99,9.99
36,2026-03-13 08:45:00,10.76,CONDITION_3,10.583,10.583,11.38,11.38,11.38
37,2026-03-13 09:00:00,12.065,CONDITION_3,11.867,11.867,12.76,12.76,12.76
38,2026-03-13 09:15:00,13.332,CONDITION_3,13.113,13.113,14.1,14.1,14.1
39,2026-03-13 09:30:00,14.495,CONDITION_3,14.257,14.257,15.33,15.33,15.33
40,2026-03-13 09:45:00,15.554,CONDITION_3,15.299,15.299,16.45,16.45,16.45
41,2026-03-13 10:00:00,16.527,CONDITION_3,16.256,16.256,17.48,17.48,17.48
42,2026-03-13 10:15:00,17.428,CONDITION_3,17.056,17.056,18.34,18.34,18.34
43,2026-03-13 10:30:00,18.131,CONDITION_3,17.744,17.744,19.08,19.08,19.08
44,2026-03-13 10:45:00,18.768,CONDITION_3,18.367,18.367,19.75,19.75,19.75
45,2026-03-13 11:00:00,19.006,CONDITION_3,18.6,18.6,20.0,20.0,20.0
46,2026-03-13 11:15:00,19.006,CONDITION_3,18.6,18.6,20.0,20.0,20.0
47,2026-03-13 11:30:00,18.87,CONDITION_3,18.6,18.6,20.0,20.0,20.0
48,2026-03-13 11:45:00,18.6,CONDITION_3,18.6,18.6,20.0,20.0,20.0
49,2026-03-13 12:00:00,18.6,CONDITION_3,18.6,18.6,20.0,20.0,20.0
50,2026-03-13 12:15:00,18.6,CONDITION_3,18.6,18.6,20.0,20.0,20.0
51,2026-03-13 12:30:00,18.6,CONDITION_3,18.6,18.6,20.0,20.0,20.0
52,2026-03-13 12:45:00,18.6,CONDITION_3,18.6,18.6,20.0,20.0,20.0
53,2026-03-13 13:00:00,18.6,CONDITION_3,18.6,18.6,20.0,20.0,20.0
54,2026-03-13 13:15:00,18.6,CONDITION_3,18.6,18.6,20.0,20.0,20.0
55,2026-03-13 13:30:00,18.6,CONDITION_3,18.6,18.6,20.0,20.0,20.0
56,2026-03-13 13:45:00,18.516,CONDITION_3,18.516,18.516,19.91,19.91,19.91
57,2026-03-13 14:00:00,17.809,CONDITION_3,17.809,17.809,19.15,19.15,19.15
58,2026-03-13 14:15:00,16.922,CONDITION_3,17.028,17.028,18.31,18.31,18.31
59,2026-03-13 14:30:00,16.06,CONDITION_3,16.349,16.349,17.58,17.58,17.58
60,2026-03-13 14:45:00,15.32,CONDITION_3,15.596,15.596,16.77,16.77,16.77
61,2026-03-13 15:00:00,14.517,CONDITION_3,14.778,14.778,15.89,15.89,15.89
62,2026-03-13 15:15:00,13.658,CONDITION_3,13.903,13.903,14.95,14.95,14.95
63,2026-03-13 15:30:00,12.67,CONDITION_3,12.843,12.843,13.81,13.81,13.81
64,2026-03-13 15:45:00,11.569,CONDITION_3,11.727,11.727,12.61,12.61,12.61
65,2026-03-13 16:00:00,10.404,CONDITION_3,10.546,10.546,11.34,11.34,11.34
66,2026-03-13 16:15:00,9.174,CONDITION_3,9.3,9.3,10.0,10.0,10.0
67,2026-03-13 16:30:00,7.936,CONDITION_3,8.045,8.045,8.65,8.65,8.65
68,2026-03-13 16:45:00,6.758,CONDITION_3,6.808,6.808,7.32,7.32,7.32
69,2026-03-13 17:00:00,5.549,CONDITION_3,5.589,5.589,6.01,6.01,6.01
70,2026-03-13 17:15:00,4.376,CONDITION_3,4.408,4.408,4.74,4.74,4.74
71,2026-03-13 17:30:00,3.486,CONDITION_3,3.515,3.515,3.78,3.78,3.78
72,2026-03-13 17:45:00,2.532,CONDITION_3,2.548,2.548,2.74,2.74,2.74
73,2026-03-13 18:00:00,1.25,CONDITION_3,1.289,1.289,1.63,1.63,1.63
74,2026-03-13 18:15:00,0.33,CONDITION_3,0.34,0.34,0.43,0.43,0.43
75,2026-03-13 18:30:00,0.0,CONDITION_3,0.0,0.0,0.0,0.0,0.0
76,2026-03-13 18:45:00,0.0,SUNSET_CLAMP,0.0,0.0,0.0,0.0,0.0
77,2026-03-13 19:00:00,0.0,SUNSET_CLAMP,0.0,0.0,0.0,0.0,0.0
78,2026-03-13 19:15:00,0.0,SUNSET_CLAMP,0.0,0.0,0.0,0.0,0.0
79,2026-03-13 19:30:00,0.0,SUNSET_CLAMP,0.0,0.0,0.0,0.0,0.0
80,2026-03-13 19:45:00,0.0,SUNSET_CLAMP,0.0,0.0,0.0,0.0,0.0
81,2026-03-13 20:00:00,0.0,SUNSET_CLAMP,0.0,0.0,0.0,0.0,0.0
82,2026-03-13 20:15:00,0.0,SUNSET_CLAMP,0.0,0.0,0.0,0.0,0.0
