Block,Time,System Schedule (MW),Vedanjay Schedule (MW),Diff (MW),Abs Diff (MW),Diff % of System
1,00:00,0.000,-0.030,-0.030,0.030,
2,00:15,0.000,-0.040,-0.040,0.040,
3,00:30,0.000,-0.040,-0.040,0.040,
4,00:45,0.000,-0.040,-0.040,0.040,
5,01:00,0.000,-0.040,-0.040,0.040,
6,01:15,0.000,-0.040,-0.040,0.040,
7,01:30,0.000,-0.040,-0.040,0.040,
8,01:45,0.000,-0.040,-0.040,0.040,
9,02:00,0.000,-0.040,-0.040,0.040,
10,02:15,0.000,-0.040,-0.040,0.040,
11,02:30,0.000,-0.040,-0.040,0.040,
12,02:45,0.000,-0.040,-0.040,0.040,
13,03:00,0.000,-0.040,-0.040,0.040,
14,03:15,0.000,-0.040,-0.040,0.040,
15,03:30,0.000,-0.040,-0.040,0.040,
16,03:45,0.000,-0.040,-0.040,0.040,
17,04:00,0.000,-0.040,-0.040,0.040,
18,04:15,0.000,-0.040,-0.040,0.040,
19,04:30,0.000,-0.040,-0.040,0.040,
20,04:45,0.000,-0.040,-0.040,0.040,
21,05:00,0.000,-0.040,-0.040,0.040,
22,05:15,0.000,-0.040,-0.040,0.040,
23,05:30,0.000,-0.040,-0.040,0.040,
24,05:45,0.000,-0.040,-0.040,0.040,
25,06:00,0.000,-0.040,-0.040,0.040,
26,06:15,0.000,-0.040,-0.040,0.040,
27,06:30,0.000,-0.030,-0.030,0.030,
28,06:45,0.000,0.120,0.120,0.120,
29,07:00,0.000,0.550,0.550,0.550,
30,07:15,2.387,1.360,-1.027,1.027,-43.02
31,07:30,3.407,2.530,-0.877,0.877,-25.74
32,07:45,5.307,3.890,-1.417,1.417,-26.70
33,08:00,6.672,5.610,-1.062,1.062,-15.92
34,08:15,8.070,7.490,-0.580,0.580,-7.19
35,08:30,9.374,9.180,-0.194,0.194,-2.07
36,08:45,10.760,10.600,-0.160,0.160,-1.49
37,09:00,12.065,11.940,-0.125,0.125,-1.04
38,09:15,13.332,13.150,-0.182,0.182,-1.37
39,09:30,14.495,14.300,-0.195,0.195,-1.35
40,09:45,15.554,15.420,-0.134,0.134,-0.86
41,10:00,16.527,16.370,-0.157,0.157,-0.95
42,10:15,17.428,17.020,-0.408,0.408,-2.34
43,10:30,18.131,17.790,-0.341,0.341,-1.88
44,10:45,18.768,18.460,-0.308,0.308,-1.64
45,11:00,19.006,18.880,-0.126,0.126,-0.66
46,11:15,19.006,19.210,0.204,0.204,1.07
47,11:30,18.870,19.570,0.700,0.700,3.71
48,11:45,18.600,19.890,1.290,1.290,6.94
49,12:00,18.600,20.020,1.420,1.420,7.63
50,12:15,18.600,20.060,1.460,1.460,7.85
51,12:30,18.600,19.980,1.380,1.380,7.42
52,12:45,18.600,19.710,1.110,1.110,5.97
53,13:00,18.600,19.500,0.900,0.900,4.84
54,13:15,18.600,19.470,0.870,0.870,4.68
55,13:30,18.600,19.150,0.550,0.550,2.96
56,13:45,18.516,18.270,-0.246,0.246,-1.33
57,14:00,17.809,18.190,0.381,0.381,2.14
58,14:15,16.922,17.100,0.178,0.178,1.05
59,14:30,16.060,17.080,1.020,1.020,6.35
60,14:45,15.320,16.880,1.560,1.560,10.18
61,15:00,14.517,15.700,1.183,1.183,8.15
62,15:15,13.658,14.220,0.562,0.562,4.11
63,15:30,12.670,11.500,-1.170,1.170,-9.23
64,15:45,11.569,12.400,0.831,0.831,7.18
65,16:00,10.404,10.590,0.186,0.186,1.79
66,16:15,9.174,8.970,-0.204,0.204,-2.22
67,16:30,7.936,7.030,-0.906,0.906,-11.42
68,16:45,6.758,7.280,0.522,0.522,7.72
69,17:00,5.549,7.130,1.581,1.581,28.49
70,17:15,4.376,5.440,1.064,1.064,24.31
71,17:30,3.486,3.750,0.264,0.264,7.57
72,17:45,2.532,2.540,0.008,0.008,0.32
73,18:00,1.250,1.630,0.380,0.380,30.40
74,18:15,0.330,0.740,0.410,0.410,124.24
75,18:30,0.000,0.190,0.190,0.190,
76,18:45,0.000,-0.020,-0.020,0.020,
77,19:00,0.000,-0.040,-0.040,0.040,
78,19:15,0.000,-0.040,-0.040,0.040,
79,19:30,0.000,-0.040,-0.040,0.040,
80,19:45,0.000,-0.040,-0.040,0.040,
81,20:00,0.000,-0.040,-0.040,0.040,
82,20:15,0.000,-0.040,-0.040,0.040,
83,20:30,0.000,-0.040,-0.040,0.040,
84,20:45,0.000,-0.040,-0.040,0.040,
85,21:00,0.000,-0.040,-0.040,0.040,
86,21:15,0.000,-0.040,-0.040,0.040,
87,21:30,0.000,-0.040,-0.040,0.040,
88,21:45,0.000,-0.040,-0.040,0.040,
89,22:00,0.000,-0.040,-0.040,0.040,
90,22:15,0.000,-0.040,-0.040,0.040,
91,22:30,0.000,-0.040,-0.040,0.040,
92,22:45,0.000,-0.040,-0.040,0.040,
93,23:00,0.000,-0.040,-0.040,0.040,
94,23:15,0.000,-0.040,-0.040,0.040,
95,23:30,0.000,-0.040,-0.040,0.040,
96,23:45,0.000,-0.040,-0.040,0.040,
