Start (Asia/Kolkata),End (Asia/Kolkata),Kilaj  - Meter data (live)  (MW),,,,
13-03-2026 00:00,13-03-2026 00:15,-0.03,,,,
13-03-2026 00:15,13-03-2026 00:30,-0.04,,,,
13-03-2026 00:30,13-03-2026 00:45,-0.04,,,,
13-03-2026 00:45,13-03-2026 01:00,-0.04,,,,
13-03-2026 01:00,13-03-2026 01:15,-0.04,,,,
13-03-2026 01:15,13-03-2026 01:30,-0.04,,,,
13-03-2026 01:30,13-03-2026 01:45,-0.04,,,,
13-03-2026 01:45,13-03-2026 02:00,-0.04,,,,
13-03-2026 02:00,13-03-2026 02:15,-0.04,,,,
13-03-2026 02:15,13-03-2026 02:30,-0.04,,,,
13-03-2026 02:30,13-03-2026 02:45,-0.04,,,,
13-03-2026 02:45,13-03-2026 03:00,-0.04,,,,
13-03-2026 03:00,13-03-2026 03:15,-0.04,,,,
13-03-2026 03:15,13-03-2026 03:30,-0.04,,,,
13-03-2026 03:30,13-03-2026 03:45,-0.04,,,,
13-03-2026 03:45,13-03-2026 04:00,-0.04,,,,
13-03-2026 04:00,13-03-2026 04:15,-0.04,,,,
13-03-2026 04:15,13-03-2026 04:30,-0.04,,,,
13-03-2026 04:30,13-03-2026 04:45,-0.04,,,,
13-03-2026 04:45,13-03-2026 05:00,-0.04,,,,
13-03-2026 05:00,13-03-2026 05:15,-0.04,,,,
13-03-2026 05:15,13-03-2026 05:30,-0.04,,,,
13-03-2026 05:30,13-03-2026 05:45,-0.04,,,,
13-03-2026 05:45,13-03-2026 06:00,-0.04,,,,
13-03-2026 06:00,13-03-2026 06:15,-0.04,,,,
13-03-2026 06:15,13-03-2026 06:30,-0.04,,,,
13-03-2026 06:30,13-03-2026 06:45,-0.03,,,,
13-03-2026 06:45,13-03-2026 07:00,0.12,,,,
13-03-2026 07:00,13-03-2026 07:15,0.55,,,,
13-03-2026 07:15,13-03-2026 07:30,1.36,,,,
13-03-2026 07:30,13-03-2026 07:45,2.53,,,,
13-03-2026 07:45,13-03-2026 08:00,3.89,,,,
13-03-2026 08:00,13-03-2026 08:15,5.61,,,,
13-03-2026 08:15,13-03-2026 08:30,7.49,,,,
13-03-2026 08:30,13-03-2026 08:45,9.18,,,,
13-03-2026 08:45,13-03-2026 09:00,10.60,,,,
13-03-2026 09:00,13-03-2026 09:15,11.94,,,,
13-03-2026 09:15,13-03-2026 09:30,13.15,,,,
13-03-2026 09:30,13-03-2026 09:45,14.30,,,,
13-03-2026 09:45,13-03-2026 10:00,15.42,,,,
13-03-2026 10:00,13-03-2026 10:15,16.37,,,,
13-03-2026 10:15,13-03-2026 10:30,17.02,,,,
13-03-2026 10:30,13-03-2026 10:45,17.79,,,,
13-03-2026 10:45,13-03-2026 11:00,18.46,,,,
13-03-2026 11:00,13-03-2026 11:15,18.88,,,,
13-03-2026 11:15,13-03-2026 11:30,19.21,,,,
13-03-2026 11:30,13-03-2026 11:45,19.57,,,,
13-03-2026 11:45,13-03-2026 12:00,19.89,,,,
13-03-2026 12:00,13-03-2026 12:15,20.02,,,,
13-03-2026 12:15,13-03-2026 12:30,20.06,,,,
13-03-2026 12:30,13-03-2026 12:45,19.98,,,,
13-03-2026 12:45,13-03-2026 13:00,19.71,,,,
13-03-2026 13:00,13-03-2026 13:15,19.50,,,,
13-03-2026 13:15,13-03-2026 13:30,19.47,,,,
13-03-2026 13:30,13-03-2026 13:45,19.15,,,,
13-03-2026 13:45,13-03-2026 14:00,18.27,,,,
13-03-2026 14:00,13-03-2026 14:15,18.19,,,,
13-03-2026 14:15,13-03-2026 14:30,17.10,,,,
13-03-2026 14:30,13-03-2026 14:45,17.08,,,,
13-03-2026 14:45,13-03-2026 15:00,16.88,,,,
13-03-2026 15:00,13-03-2026 15:15,15.70,,,,
13-03-2026 15:15,13-03-2026 15:30,14.22,,,,
13-03-2026 15:30,13-03-2026 15:45,11.50,,,,
13-03-2026 15:45,13-03-2026 16:00,12.40,,,,
13-03-2026 16:00,13-03-2026 16:15,10.59,,,,
13-03-2026 16:15,13-03-2026 16:30,8.97,,,,
13-03-2026 16:30,13-03-2026 16:45,7.03,,,,
13-03-2026 16:45,13-03-2026 17:00,7.28,,,,
13-03-2026 17:00,13-03-2026 17:15,7.13,,,,
13-03-2026 17:15,13-03-2026 17:30,5.44,,,,
13-03-2026 17:30,13-03-2026 17:45,3.75,,,,
13-03-2026 17:45,13-03-2026 18:00,2.54,,,,
13-03-2026 18:00,13-03-2026 18:15,1.63,,,,
13-03-2026 18:15,13-03-2026 18:30,0.74,,,,
13-03-2026 18:30,13-03-2026 18:45,0.19,,,,
13-03-2026 18:45,13-03-2026 19:00,-0.02,,,,
13-03-2026 19:00,13-03-2026 19:15,-0.04,,,,
13-03-2026 19:15,13-03-2026 19:30,-0.04,,,,
13-03-2026 19:30,13-03-2026 19:45,-0.04,,,,
13-03-2026 19:45,13-03-2026 20:00,-0.04,,,,
13-03-2026 20:00,13-03-2026 20:15,-0.04,,,,
13-03-2026 20:15,13-03-2026 20:30,-0.04,,,,
13-03-2026 20:30,13-03-2026 20:45,-0.04,,,,
13-03-2026 20:45,13-03-2026 21:00,-0.04,,,,
13-03-2026 21:00,13-03-2026 21:15,-0.04,,,,
13-03-2026 21:15,13-03-2026 21:30,-0.04,,,,
13-03-2026 21:30,13-03-2026 21:45,-0.04,,,,
13-03-2026 21:45,13-03-2026 22:00,-0.04,,,,
13-03-2026 22:00,13-03-2026 22:15,-0.04,,,,
13-03-2026 22:15,13-03-2026 22:30,-0.04,,,,
13-03-2026 22:30,13-03-2026 22:45,-0.04,,,,
13-03-2026 22:45,13-03-2026 23:00,-0.04,,,,
13-03-2026 23:00,13-03-2026 23:15,-0.04,,,,
13-03-2026 23:15,13-03-2026 23:30,-0.04,,,,
