date,temperature_2m,wind_speed_10m,diffuse_radiation,global_tilted_irradiance,source_date,fetched_at_utc
2026-03-25 00:00:00+05:30,28.960001,9.826088,0.0,0.0,2026-03-25,2026-03-26T21:15:24.921099+05:30
2026-03-25 00:15:00+05:30,28.86,9.779817,0.0,0.0,2026-03-25,2026-03-26T21:15:24.921099+05:30
2026-03-25 00:30:00+05:30,28.710001,9.422101,0.0,0.0,2026-03-25,2026-03-26T21:15:24.921099+05:30
2026-03-25 00:45:00+05:30,28.56,9.0645685,0.0,0.0,2026-03-25,2026-03-26T21:15:24.921099+05:30
2026-03-25 01:00:00+05:30,28.460001,8.4042845,0.0,0.0,2026-03-25,2026-03-26T21:15:24.921099+05:30
2026-03-25 01:15:00+05:30,28.31,8.049845,0.0,0.0,2026-03-25,2026-03-26T21:15:24.921099+05:30
2026-03-25 01:30:00+05:30,28.210001,7.42159,0.0,0.0,2026-03-25,2026-03-26T21:15:24.921099+05:30
2026-03-25 01:45:00+05:30,28.11,6.830519,0.0,0.0,2026-03-25,2026-03-26T21:15:24.921099+05:30
2026-03-25 02:00:00+05:30,28.01,6.151683,0.0,0.0,2026-03-25,2026-03-26T21:15:24.921099+05:30
2026-03-25 02:15:00+05:30,27.91,5.634891,0.0,0.0,2026-03-25,2026-03-26T21:15:24.921099+05:30
2026-03-25 02:30:00+05:30,27.81,5.315336,0.0,0.0,2026-03-25,2026-03-26T21:15:24.921099+05:30
2026-03-25 02:45:00+05:30,27.710001,5.315336,0.0,0.0,2026-03-25,2026-03-26T21:15:24.921099+05:30
2026-03-25 03:00:00+05:30,27.61,5.315336,0.0,0.0,2026-03-25,2026-03-26T21:15:24.921099+05:30
2026-03-25 03:15:00+05:30,27.51,5.154415,0.0,0.0,2026-03-25,2026-03-26T21:15:24.921099+05:30
2026-03-25 03:30:00+05:30,27.41,5.4833565,0.0,0.0,2026-03-25,2026-03-26T21:15:24.921099+05:30
2026-03-25 03:45:00+05:30,27.36,5.6920996,0.0,0.0,2026-03-25,2026-03-26T21:15:24.921099+05:30
2026-03-25 04:00:00+05:30,27.31,5.937272,0.0,0.0,2026-03-25,2026-03-26T21:15:24.921099+05:30
2026-03-25 04:15:00+05:30,27.31,6.2145634,0.0,0.0,2026-03-25,2026-03-26T21:15:24.921099+05:30
2026-03-25 04:30:00+05:30,27.210001,6.5693827,0.0,0.0,2026-03-25,2026-03-26T21:15:24.921099+05:30
2026-03-25 04:45:00+05:30,27.06,7.342588,0.0,0.0,2026-03-25,2026-03-26T21:15:24.921099+05:30
2026-03-25 05:00:00+05:30,26.91,8.209263,0.0,0.0,2026-03-25,2026-03-26T21:15:24.921099+05:30
2026-03-25 05:15:00+05:30,26.710001,9.227524,0.0,0.0,2026-03-25,2026-03-26T21:15:24.921099+05:30
2026-03-25 05:30:00+05:30,26.51,9.693296,0.0,0.0,2026-03-25,2026-03-26T21:15:24.921099+05:30
2026-03-25 05:45:00+05:30,26.31,10.028439,0.0,0.0,2026-03-25,2026-03-26T21:15:24.921099+05:30
2026-03-25 06:00:00+05:30,26.16,10.365251,0.0,0.0,2026-03-25,2026-03-26T21:15:24.921099+05:30
2026-03-25 06:15:00+05:30,25.960001,10.24578,0.0,0.0,2026-03-25,2026-03-26T21:15:24.921099+05:30
2026-03-25 06:30:00+05:30,25.91,10.137692,0.0,0.0,2026-03-25,2026-03-26T21:15:24.921099+05:30
2026-03-25 06:45:00+05:30,25.91,9.255571,1.0,0.0,2026-03-25,2026-03-26T21:15:24.921099+05:30
2026-03-25 07:00:00+05:30,26.01,8.350138,14.0,28.999998,2026-03-25,2026-03-26T21:15:24.921099+05:30
2026-03-25 07:15:00+05:30,26.16,7.2,29.0,64.999985,2026-03-25,2026-03-26T21:15:24.921099+05:30
2026-03-25 07:30:00+05:30,26.41,6.849467,43.0,110.999985,2026-03-25,2026-03-26T21:15:24.921099+05:30
2026-03-25 07:45:00+05:30,26.76,6.8399997,57.0,169.00003,2026-03-25,2026-03-26T21:15:24.921099+05:30
2026-03-25 08:00:00+05:30,27.210001,7.5942073,69.0,235.0,2026-03-25,2026-03-26T21:15:24.921099+05:30
