date,temperature_2m,wind_speed_10m,diffuse_radiation,global_tilted_irradiance,source_date,fetched_at_utc
2026-03-25 00:00:00+05:30,29.484999,10.495713,0.0,0.0,2026-03-25,2026-03-26T21:10:11.903433+05:30
2026-03-25 00:15:00+05:30,29.335,10.383987,0.0,0.0,2026-03-25,2026-03-26T21:10:11.903433+05:30
2026-03-25 00:30:00+05:30,29.185,10.233123,0.0,0.0,2026-03-25,2026-03-26T21:10:11.903433+05:30
2026-03-25 00:45:00+05:30,29.035,9.957108,0.0,0.0,2026-03-25,2026-03-26T21:10:11.903433+05:30
2026-03-25 01:00:00+05:30,28.885,10.00256,0.0,0.0,2026-03-25,2026-03-26T21:10:11.903433+05:30
2026-03-25 01:15:00+05:30,28.734999,10.587917,0.0,0.0,2026-03-25,2026-03-26T21:10:11.903433+05:30
2026-03-25 01:30:00+05:30,28.585,10.594036,0.0,0.0,2026-03-25,2026-03-26T21:10:11.903433+05:30
2026-03-25 01:45:00+05:30,28.385,10.086427,0.0,0.0,2026-03-25,2026-03-26T21:10:11.903433+05:30
2026-03-25 02:00:00+05:30,28.185,9.47012,0.0,0.0,2026-03-25,2026-03-26T21:10:11.903433+05:30
2026-03-25 02:15:00+05:30,28.035,8.311245,0.0,0.0,2026-03-25,2026-03-26T21:10:11.903433+05:30
2026-03-25 02:30:00+05:30,27.885,7.10031,0.0,0.0,2026-03-25,2026-03-26T21:10:11.903433+05:30
2026-03-25 02:45:00+05:30,27.835,5.1165614,0.0,0.0,2026-03-25,2026-03-26T21:10:11.903433+05:30
2026-03-25 03:00:00+05:30,27.835,4.0249224,0.0,0.0,2026-03-25,2026-03-26T21:10:11.903433+05:30
2026-03-25 03:15:00+05:30,27.835,5.3999996,0.0,0.0,2026-03-25,2026-03-26T21:10:11.903433+05:30
2026-03-25 03:30:00+05:30,27.785,7.754637,0.0,0.0,2026-03-25,2026-03-26T21:10:11.903433+05:30
2026-03-25 03:45:00+05:30,27.635,8.905908,0.0,0.0,2026-03-25,2026-03-26T21:10:11.903433+05:30
2026-03-25 04:00:00+05:30,27.435,9.0645685,0.0,0.0,2026-03-25,2026-03-26T21:10:11.903433+05:30
2026-03-25 04:15:00+05:30,27.185,8.64,0.0,0.0,2026-03-25,2026-03-26T21:10:11.903433+05:30
2026-03-25 04:30:00+05:30,26.984999,8.669949,0.0,0.0,2026-03-25,2026-03-26T21:10:11.903433+05:30
2026-03-25 04:45:00+05:30,26.785,8.287822,0.0,0.0,2026-03-25,2026-03-26T21:10:11.903433+05:30
2026-03-25 05:00:00+05:30,26.585,7.928178,0.0,0.0,2026-03-25,2026-03-26T21:10:11.903433+05:30
2026-03-25 05:15:00+05:30,26.435,7.2805495,0.0,0.0,2026-03-25,2026-03-26T21:10:11.903433+05:30
2026-03-25 05:30:00+05:30,26.285,6.9899354,0.0,0.0,2026-03-25,2026-03-26T21:10:11.903433+05:30
2026-03-25 05:45:00+05:30,26.135,6.924738,0.0,0.0,2026-03-25,2026-03-26T21:10:11.903433+05:30
