block,IntradayForecastRaw_mw,BaseForecast,algo_schedule_mw
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,0.12,0.0,0.0
29,0.33,0.0,0.0
30,0.59,0.341,0.341
31,0.84,0.486,0.486
32,1.1,0.748,0.752
33,1.37,0.932,0.937
34,1.65,1.122,1.131
35,1.92,1.306,1.317
36,2.18,1.482,1.495
37,2.43,1.652,1.666
38,2.68,1.822,1.851
39,2.91,1.979,2.01
40,3.12,2.122,2.155
41,3.31,2.251,2.286
42,3.46,2.353,2.39
43,3.59,2.441,2.494
44,3.72,2.53,2.584
45,3.82,2.598,2.653
46,3.91,2.659,2.716
47,3.98,2.706,2.765
48,4.02,2.734,2.792
49,4.05,2.754,2.793
50,4.08,2.774,2.794
51,4.07,2.768,2.787
52,4.04,2.747,2.747
53,3.99,2.713,2.713
54,3.9,2.652,2.636
55,3.75,2.55,2.519
56,3.58,2.434,2.39
57,3.4,2.312,2.27
58,3.22,2.19,2.15
59,3.05,2.074,2.036
60,2.87,1.952,1.916
61,2.67,1.816,1.783
62,2.47,1.68,1.657
63,2.27,1.544,1.523
64,2.07,1.408,1.389
65,1.87,1.272,1.255
66,1.67,1.136,1.12
67,1.45,0.986,0.979
68,1.23,0.836,0.83
69,1.01,0.687,0.682
70,0.81,0.551,0.547
71,0.61,0.415,0.413
72,0.43,0.249,0.241
73,0.25,0.145,0.14
74,0.11,0.075,0.0
75,0.0,0.0,0.0
76,0.0,0.0,0.0
77,0.0,0.0,0.0
78,0.0,0.0,0.0
79,0.0,0.0,0.0
80,0.0,0.0,0.0
81,0.0,0.0,0.0
82,0.0,0.0,0.0
83,0.0,0.0,0.0
84,0.0,0.0,0.0
85,0.0,0.0,0.0
86,0.0,0.0,0.0
87,0.0,0.0,0.0
88,0.0,0.0,0.0
89,0.0,0.0,0.0
90,0.0,0.0,0.0
91,0.0,0.0,0.0
92,0.0,0.0,0.0
93,0.0,0.0,0.0
94,0.0,0.0,0.0
95,0.0,0.0,0.0
96,0.0,0.0,0.0
