block,timestamp,start_time,end_time,algo_schedule_mw,condition_used,BaseForecast,EffectiveBaseForecast,IntradayForecastRaw_mw,IntradayForecastScaled_mw,IntradayForecast_mw
1,2026-03-24 00:00:00,2026-03-24 00:00:00,2026-03-24 00:15:00,0.0,PRE_START,0.0,0.0,0.0,0.0,0.0
2,2026-03-24 00:15:00,2026-03-24 00:15:00,2026-03-24 00:30:00,0.0,PRE_START,0.0,0.0,0.0,0.0,0.0
3,2026-03-24 00:30:00,2026-03-24 00:30:00,2026-03-24 00:45:00,0.0,PRE_START,0.0,0.0,0.0,0.0,0.0
4,2026-03-24 00:45:00,2026-03-24 00:45:00,2026-03-24 01:00:00,0.0,PRE_START,0.0,0.0,0.0,0.0,0.0
5,2026-03-24 01:00:00,2026-03-24 01:00:00,2026-03-24 01:15:00,0.0,PRE_START,0.0,0.0,0.0,0.0,0.0
6,2026-03-24 01:15:00,2026-03-24 01:15:00,2026-03-24 01:30:00,0.0,PRE_START,0.0,0.0,0.0,0.0,0.0
7,2026-03-24 01:30:00,2026-03-24 01:30:00,2026-03-24 01:45:00,0.0,PRE_START,0.0,0.0,0.0,0.0,0.0
8,2026-03-24 01:45:00,2026-03-24 01:45:00,2026-03-24 02:00:00,0.0,PRE_START,0.0,0.0,0.0,0.0,0.0
9,2026-03-24 02:00:00,2026-03-24 02:00:00,2026-03-24 02:15:00,0.0,PRE_START,0.0,0.0,0.0,0.0,0.0
10,2026-03-24 02:15:00,2026-03-24 02:15:00,2026-03-24 02:30:00,0.0,PRE_START,0.0,0.0,0.0,0.0,0.0
11,2026-03-24 02:30:00,2026-03-24 02:30:00,2026-03-24 02:45:00,0.0,PRE_START,0.0,0.0,0.0,0.0,0.0
12,2026-03-24 02:45:00,2026-03-24 02:45:00,2026-03-24 03:00:00,0.0,PRE_START,0.0,0.0,0.0,0.0,0.0
13,2026-03-24 03:00:00,2026-03-24 03:00:00,2026-03-24 03:15:00,0.0,PRE_START,0.0,0.0,0.0,0.0,0.0
14,2026-03-24 03:15:00,2026-03-24 03:15:00,2026-03-24 03:30:00,0.0,PRE_START,0.0,0.0,0.0,0.0,0.0
15,2026-03-24 03:30:00,2026-03-24 03:30:00,2026-03-24 03:45:00,0.0,PRE_START,0.0,0.0,0.0,0.0,0.0
16,2026-03-24 03:45:00,2026-03-24 03:45:00,2026-03-24 04:00:00,0.0,PRE_START,0.0,0.0,0.0,0.0,0.0
17,2026-03-24 04:00:00,2026-03-24 04:00:00,2026-03-24 04:15:00,0.0,PRE_START,0.0,0.0,0.0,0.0,0.0
18,2026-03-24 04:15:00,2026-03-24 04:15:00,2026-03-24 04:30:00,0.0,PRE_START,0.0,0.0,0.0,0.0,0.0
19,2026-03-24 04:30:00,2026-03-24 04:30:00,2026-03-24 04:45:00,0.0,PRE_START,0.0,0.0,0.0,0.0,0.0
20,2026-03-24 04:45:00,2026-03-24 04:45:00,2026-03-24 05:00:00,0.0,PRE_START,0.0,0.0,0.0,0.0,0.0
21,2026-03-24 05:00:00,2026-03-24 05:00:00,2026-03-24 05:15:00,0.0,PRE_START,0.0,0.0,0.0,0.0,0.0
22,2026-03-24 05:15:00,2026-03-24 05:15:00,2026-03-24 05:30:00,0.0,PRE_START,0.0,0.0,0.0,0.0,0.0
23,2026-03-24 05:30:00,2026-03-24 05:30:00,2026-03-24 05:45:00,0.0,PRE_START,0.0,0.0,0.0,0.0,0.0
24,2026-03-24 05:45:00,2026-03-24 05:45:00,2026-03-24 06:00:00,0.0,PRE_START,0.0,0.0,0.0,0.0,0.0
25,2026-03-24 06:00:00,2026-03-24 06:00:00,2026-03-24 06:15:00,0.0,PRE_START,0.0,0.0,0.0,0.0,0.0
26,2026-03-24 06:15:00,2026-03-24 06:15:00,2026-03-24 06:30:00,0.0,PRE_START,0.0,0.0,0.0,0.0,0.0
27,2026-03-24 06:30:00,2026-03-24 06:30:00,2026-03-24 06:45:00,0.0,PRE_START,0.0,0.0,0.0,0.0,0.0
28,2026-03-24 06:45:00,2026-03-24 06:45:00,2026-03-24 07:00:00,0.0,PRE_START,0.0,0.0,0.12,0.096,0.096
29,2026-03-24 07:00:00,2026-03-24 07:00:00,2026-03-24 07:15:00,0.0,PRE_START,0.0,0.0,0.33,0.264,0.264
30,2026-03-24 07:15:00,2026-03-24 07:15:00,2026-03-24 07:30:00,0.341,CONDITION_3,0.341,0.341,0.59,0.472,0.472
31,2026-03-24 07:30:00,2026-03-24 07:30:00,2026-03-24 07:45:00,0.486,CONDITION_3,0.486,0.486,0.84,0.672,0.672
32,2026-03-24 07:45:00,2026-03-24 07:45:00,2026-03-24 08:00:00,0.752,CONDITION_3,0.748,0.748,1.1,0.88,0.88
33,2026-03-24 08:00:00,2026-03-24 08:00:00,2026-03-24 08:15:00,0.937,CONDITION_3,0.932,0.932,1.37,1.096,1.096
34,2026-03-24 08:15:00,2026-03-24 08:15:00,2026-03-24 08:30:00,1.131,CONDITION_3,1.122,1.122,1.65,1.32,1.32
35,2026-03-24 08:30:00,2026-03-24 08:30:00,2026-03-24 08:45:00,1.317,CONDITION_3,1.306,1.306,1.92,1.536,1.536
36,2026-03-24 08:45:00,2026-03-24 08:45:00,2026-03-24 09:00:00,1.495,CONDITION_3,1.482,1.482,2.18,1.744,1.744
37,2026-03-24 09:00:00,2026-03-24 09:00:00,2026-03-24 09:15:00,1.666,CONDITION_3,1.652,1.652,2.43,1.944,1.944
38,2026-03-24 09:15:00,2026-03-24 09:15:00,2026-03-24 09:30:00,1.851,CONDITION_3,1.822,1.822,2.68,2.144,2.144
39,2026-03-24 09:30:00,2026-03-24 09:30:00,2026-03-24 09:45:00,2.01,CONDITION_3,1.979,1.979,2.91,2.328,2.328
40,2026-03-24 09:45:00,2026-03-24 09:45:00,2026-03-24 10:00:00,2.155,CONDITION_3,2.122,2.122,3.12,2.496,2.496
41,2026-03-24 10:00:00,2026-03-24 10:00:00,2026-03-24 10:15:00,2.286,CONDITION_3,2.251,2.251,3.31,2.648,2.648
42,2026-03-24 10:15:00,2026-03-24 10:15:00,2026-03-24 10:30:00,2.39,CONDITION_3,2.353,2.353,3.46,2.768,2.768
43,2026-03-24 10:30:00,2026-03-24 10:30:00,2026-03-24 10:45:00,2.494,CONDITION_3,2.441,2.441,3.59,2.872,2.872
44,2026-03-24 10:45:00,2026-03-24 10:45:00,2026-03-24 11:00:00,2.584,CONDITION_3,2.53,2.53,3.72,2.976,2.976
45,2026-03-24 11:00:00,2026-03-24 11:00:00,2026-03-24 11:15:00,2.653,CONDITION_3,2.598,2.598,3.82,3.056,3.056
46,2026-03-24 11:15:00,2026-03-24 11:15:00,2026-03-24 11:30:00,2.716,CONDITION_3,2.659,2.659,3.91,3.128,3.128
47,2026-03-24 11:30:00,2026-03-24 11:30:00,2026-03-24 11:45:00,2.765,CONDITION_3,2.706,2.706,3.98,3.184,3.184
48,2026-03-24 11:45:00,2026-03-24 11:45:00,2026-03-24 12:00:00,2.792,CONDITION_3,2.734,2.734,4.02,3.216,3.216
49,2026-03-24 12:00:00,2026-03-24 12:00:00,2026-03-24 12:15:00,2.793,CONDITION_3,2.754,2.754,4.05,3.24,3.24
50,2026-03-24 12:15:00,2026-03-24 12:15:00,2026-03-24 12:30:00,2.794,CONDITION_3,2.774,2.774,4.08,3.264,3.264
51,2026-03-24 12:30:00,2026-03-24 12:30:00,2026-03-24 12:45:00,2.787,CONDITION_3,2.768,2.768,4.07,3.256,3.256
52,2026-03-24 12:45:00,2026-03-24 12:45:00,2026-03-24 13:00:00,2.747,CONDITION_3,2.747,2.747,4.04,3.232,3.232
53,2026-03-24 13:00:00,2026-03-24 13:00:00,2026-03-24 13:15:00,2.713,CONDITION_3,2.713,2.713,3.99,3.192,3.192
54,2026-03-24 13:15:00,2026-03-24 13:15:00,2026-03-24 13:30:00,2.636,CONDITION_3,2.652,2.652,3.9,3.12,3.12
55,2026-03-24 13:30:00,2026-03-24 13:30:00,2026-03-24 13:45:00,2.519,CONDITION_3,2.55,2.55,3.75,3.0,3.0
56,2026-03-24 13:45:00,2026-03-24 13:45:00,2026-03-24 14:00:00,2.39,CONDITION_3,2.434,2.434,3.58,2.864,2.864
57,2026-03-24 14:00:00,2026-03-24 14:00:00,2026-03-24 14:15:00,2.27,CONDITION_3,2.312,2.312,3.4,2.72,2.72
58,2026-03-24 14:15:00,2026-03-24 14:15:00,2026-03-24 14:30:00,2.15,CONDITION_3,2.19,2.19,3.22,2.576,2.576
59,2026-03-24 14:30:00,2026-03-24 14:30:00,2026-03-24 14:45:00,2.036,CONDITION_3,2.074,2.074,3.05,2.44,2.44
60,2026-03-24 14:45:00,2026-03-24 14:45:00,2026-03-24 15:00:00,1.916,CONDITION_3,1.952,1.952,2.87,2.296,2.296
61,2026-03-24 15:00:00,2026-03-24 15:00:00,2026-03-24 15:15:00,1.783,CONDITION_3,1.816,1.816,2.67,2.136,2.136
62,2026-03-24 15:15:00,2026-03-24 15:15:00,2026-03-24 15:30:00,1.657,CONDITION_3,1.68,1.68,2.47,1.976,1.976
63,2026-03-24 15:30:00,2026-03-24 15:30:00,2026-03-24 15:45:00,1.523,CONDITION_3,1.544,1.544,2.27,1.816,1.816
64,2026-03-24 15:45:00,2026-03-24 15:45:00,2026-03-24 16:00:00,1.389,CONDITION_3,1.408,1.408,2.07,1.656,1.656
65,2026-03-24 16:00:00,2026-03-24 16:00:00,2026-03-24 16:15:00,1.255,CONDITION_3,1.272,1.272,1.87,1.496,1.496
66,2026-03-24 16:15:00,2026-03-24 16:15:00,2026-03-24 16:30:00,1.12,CONDITION_3,1.136,1.136,1.67,1.336,1.336
67,2026-03-24 16:30:00,2026-03-24 16:30:00,2026-03-24 16:45:00,0.979,CONDITION_3,0.986,0.986,1.45,1.16,1.16
68,2026-03-24 16:45:00,2026-03-24 16:45:00,2026-03-24 17:00:00,0.83,CONDITION_3,0.836,0.836,1.23,0.984,0.984
69,2026-03-24 17:00:00,2026-03-24 17:00:00,2026-03-24 17:15:00,0.682,CONDITION_3,0.687,0.687,1.01,0.808,0.808
70,2026-03-24 17:15:00,2026-03-24 17:15:00,2026-03-24 17:30:00,0.547,CONDITION_3,0.551,0.551,0.81,0.648,0.648
71,2026-03-24 17:30:00,2026-03-24 17:30:00,2026-03-24 17:45:00,0.413,CONDITION_3,0.415,0.415,0.61,0.488,0.488
72,2026-03-24 17:45:00,2026-03-24 17:45:00,2026-03-24 18:00:00,0.241,CONDITION_3,0.249,0.249,0.43,0.344,0.344
73,2026-03-24 18:00:00,2026-03-24 18:00:00,2026-03-24 18:15:00,0.14,CONDITION_3,0.145,0.145,0.25,0.2,0.2
74,2026-03-24 18:15:00,2026-03-24 18:15:00,2026-03-24 18:30:00,0.0,SUNSET_CLAMP,0.075,0.075,0.11,0.088,0.088
75,2026-03-24 18:30:00,2026-03-24 18:30:00,2026-03-24 18:45:00,0.0,SUNSET_CLAMP,0.0,0.0,0.0,0.0,0.0
76,2026-03-24 18:45:00,2026-03-24 18:45:00,2026-03-24 19:00:00,0.0,SUNSET_CLAMP,0.0,0.0,0.0,0.0,0.0
77,2026-03-24 19:00:00,2026-03-24 19:00:00,2026-03-24 19:15:00,0.0,SUNSET_CLAMP,0.0,0.0,0.0,0.0,0.0
78,2026-03-24 19:15:00,2026-03-24 19:15:00,2026-03-24 19:30:00,0.0,SUNSET_CLAMP,0.0,0.0,0.0,0.0,0.0
79,2026-03-24 19:30:00,2026-03-24 19:30:00,2026-03-24 19:45:00,0.0,SUNSET_CLAMP,0.0,0.0,0.0,0.0,0.0
