block,IntradayForecastRaw_mw,BaseForecast,algo_schedule_mw
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.11,0.0,0.0
28,0.96,0.0,0.0
29,2.05,0.0,0.0
30,3.29,2.601,2.601
31,4.52,4.204,4.23
32,5.82,5.413,5.461
33,7.17,6.668,6.726
34,8.52,7.924,7.989
35,9.81,9.123,9.199
36,11.09,10.314,10.454
37,12.34,11.476,11.632
38,13.56,12.611,12.804
39,14.7,13.671,13.88
40,15.76,14.657,14.894
41,16.68,15.512,15.763
42,17.44,16.219,16.569
43,18.03,16.768,17.129
44,18.55,17.252,17.623
45,19.02,17.689,18.07
46,19.39,18.033,18.422
47,19.22,17.875,18.26
48,19.26,17.912,18.041
49,19.21,17.865,17.865
50,19.08,17.744,17.744
51,18.91,17.586,17.586
52,18.61,17.307,17.307
53,18.09,16.824,16.721
54,17.45,16.229,16.031
55,17.07,15.875,15.576
56,16.69,15.522,15.229
57,16.17,15.038,14.754
58,15.54,14.452,14.179
59,14.61,13.587,13.331
60,13.63,12.676,12.437
61,12.61,11.727,11.506
62,11.56,10.751,10.599
63,10.79,10.035,9.893
64,9.97,9.272,9.141
65,9.02,8.389,8.27
66,8.12,7.552,7.445
67,6.78,6.305,6.257
68,5.47,5.087,5.048
69,4.28,3.98,3.95
70,3.2,2.976,2.953
71,2.45,2.279,2.266
72,1.7,1.344,1.304
73,0.97,0.767,0.744
74,0.25,0.198,0.192
75,0.0,0.0,0.0
76,0.0,0.0,0.0
77,0.0,0.0,0.0
78,0.0,0.0,0.0
79,0.0,0.0,0.0
80,0.0,0.0,0.0
81,0.0,0.0,0.0
82,0.0,0.0,0.0
83,0.0,0.0,0.0
84,0.0,0.0,0.0
85,0.0,0.0,0.0
86,0.0,0.0,0.0
87,0.0,0.0,0.0
88,0.0,0.0,0.0
89,0.0,0.0,0.0
90,0.0,0.0,0.0
91,0.0,0.0,0.0
92,0.0,0.0,0.0
93,0.0,0.0,0.0
94,0.0,0.0,0.0
95,0.0,0.0,0.0
96,0.0,0.0,0.0
