block,timestamp,algo_schedule_mw,condition_used,BaseForecast,EffectiveBaseForecast,IntradayForecastRaw_mw,IntradayForecastScaled_mw,IntradayForecast_mw
1,2026-03-25 00:00:00,0.0,FROZEN,0.0,0.0,0.0,0.0,0.0
2,2026-03-25 00:15:00,0.0,FROZEN,0.0,0.0,0.0,0.0,0.0
3,2026-03-25 00:30:00,0.0,FROZEN,0.0,0.0,0.0,0.0,0.0
4,2026-03-25 00:45:00,0.0,FROZEN,0.0,0.0,0.0,0.0,0.0
5,2026-03-25 01:00:00,0.0,FROZEN,0.0,0.0,0.0,0.0,0.0
6,2026-03-25 01:15:00,0.0,FROZEN,0.0,0.0,0.0,0.0,0.0
7,2026-03-25 01:30:00,0.0,FROZEN,0.0,0.0,0.0,0.0,0.0
8,2026-03-25 01:45:00,0.0,FROZEN,0.0,0.0,0.0,0.0,0.0
9,2026-03-25 02:00:00,0.0,FROZEN,0.0,0.0,0.0,0.0,0.0
10,2026-03-25 02:15:00,0.0,FROZEN,0.0,0.0,0.0,0.0,0.0
11,2026-03-25 02:30:00,0.0,FROZEN,0.0,0.0,0.0,0.0,0.0
12,2026-03-25 02:45:00,0.0,FROZEN,0.0,0.0,0.0,0.0,0.0
13,2026-03-25 03:00:00,0.0,FROZEN,0.0,0.0,0.0,0.0,0.0
14,2026-03-25 03:15:00,0.0,FROZEN,0.0,0.0,0.0,0.0,0.0
15,2026-03-25 03:30:00,0.0,FROZEN,0.0,0.0,0.0,0.0,0.0
16,2026-03-25 03:45:00,0.0,FROZEN,0.0,0.0,0.0,0.0,0.0
17,2026-03-25 04:00:00,0.0,FROZEN,0.0,0.0,0.0,0.0,0.0
18,2026-03-25 04:15:00,0.0,FROZEN,0.0,0.0,0.0,0.0,0.0
19,2026-03-25 04:30:00,0.0,FROZEN,0.0,0.0,0.0,0.0,0.0
20,2026-03-25 04:45:00,0.0,FROZEN,0.0,0.0,0.0,0.0,0.0
21,2026-03-25 05:00:00,0.0,FROZEN,0.0,0.0,0.0,0.0,0.0
22,2026-03-25 05:15:00,0.0,FROZEN,0.0,0.0,0.0,0.0,0.0
23,2026-03-25 05:30:00,0.0,FROZEN,0.0,0.0,0.0,0.0,0.0
24,2026-03-25 05:45:00,0.0,FROZEN,0.0,0.0,0.0,0.0,0.0
25,2026-03-25 06:00:00,0.0,FROZEN,0.0,0.0,0.0,0.0,0.0
26,2026-03-25 06:15:00,0.0,FROZEN,0.0,0.0,0.0,0.0,0.0
27,2026-03-25 06:30:00,0.0,FROZEN,0.0,0.0,0.04,0.04,0.04
28,2026-03-25 06:45:00,0.0,FROZEN,0.0,0.0,0.39,0.39,0.39
29,2026-03-25 07:00:00,0.65,FROZEN,0.65,0.65,0.85,0.85,0.85
30,2026-03-25 07:15:00,1.209,FROZEN,1.209,1.209,1.58,1.58,1.58
31,2026-03-25 07:30:00,1.882,FROZEN,1.882,1.882,2.46,2.46,2.46
32,2026-03-25 07:45:00,3.127,FROZEN,3.127,3.127,3.45,3.45,3.45
33,2026-03-25 08:00:00,4.455,FROZEN,4.455,4.455,4.5,4.5,4.5
34,2026-03-25 08:15:00,5.554,FROZEN,5.554,5.554,5.61,5.61,5.61
35,2026-03-25 08:30:00,6.603,FROZEN,6.603,6.603,6.67,6.67,6.67
36,2026-03-25 08:45:00,7.01,FROZEN,7.01,7.01,7.71,7.71,7.71
37,2026-03-25 09:00:00,8.633,ABRUPT_INCREASE,7.848,7.848,8.72,8.72,8.72
38,2026-03-25 09:15:00,9.573,ABRUPT_INCREASE,8.703,8.703,9.67,9.67,9.67
39,2026-03-25 09:30:00,9.677,CONDITION_3,9.504,9.504,10.56,10.56,10.56
40,2026-03-25 09:45:00,10.456,CONDITION_3,10.269,10.269,11.41,11.41,11.41
41,2026-03-25 10:00:00,11.143,CONDITION_3,10.944,10.944,12.16,12.16,12.16
42,2026-03-25 10:15:00,11.779,CONDITION_3,11.511,11.511,12.79,12.79,12.79
43,2026-03-25 10:30:00,12.286,CONDITION_3,12.006,12.006,13.34,13.34,13.34
44,2026-03-25 10:45:00,12.718,CONDITION_3,12.429,12.429,13.81,13.81,13.81
45,2026-03-25 11:00:00,13.096,CONDITION_3,12.798,12.798,14.22,14.22,14.22
46,2026-03-25 11:15:00,13.409,CONDITION_3,13.104,13.104,14.56,14.56,14.56
47,2026-03-25 11:30:00,13.593,CONDITION_3,13.284,13.284,14.76,14.76,14.76
48,2026-03-25 11:45:00,13.732,CONDITION_3,13.419,13.419,14.91,14.91,14.91
49,2026-03-25 12:00:00,13.719,CONDITION_3,13.509,13.509,15.01,15.01,15.01
50,2026-03-25 12:15:00,13.623,CONDITION_3,13.518,13.518,15.02,15.02,15.02
51,2026-03-25 12:30:00,13.491,CONDITION_3,13.491,13.491,14.99,14.99,14.99
52,2026-03-25 12:45:00,13.428,CONDITION_3,13.428,13.428,14.92,14.92,14.92
53,2026-03-25 13:00:00,13.239,CONDITION_3,13.239,13.239,14.71,14.71,14.71
54,2026-03-25 13:15:00,12.915,CONDITION_3,12.915,12.915,14.35,14.35,14.35
55,2026-03-25 13:30:00,12.591,CONDITION_3,12.771,12.771,14.19,14.19,14.19
56,2026-03-25 13:45:00,12.334,CONDITION_3,12.51,12.51,13.9,13.9,13.9
57,2026-03-25 14:00:00,12.031,CONDITION_3,12.213,12.213,13.57,13.57,13.57
58,2026-03-25 14:15:00,11.659,CONDITION_3,11.835,11.835,13.15,13.15,13.15
59,2026-03-25 14:30:00,10.812,CONDITION_3,11.07,11.07,12.3,12.3,12.3
60,2026-03-25 14:45:00,10.03,CONDITION_3,10.269,10.269,11.41,11.41,11.41
61,2026-03-25 15:00:00,9.212,CONDITION_3,9.432,9.432,10.48,10.48,10.48
62,2026-03-25 15:15:00,8.406,CONDITION_3,8.541,8.541,9.49,9.49,9.49
63,2026-03-25 15:30:00,7.786,CONDITION_3,7.911,7.911,8.79,8.79,8.79
64,2026-03-25 15:45:00,7.139,CONDITION_3,7.254,7.254,8.06,8.06,8.06
65,2026-03-25 16:00:00,6.475,CONDITION_3,6.579,6.579,7.31,7.31,7.31
66,2026-03-25 16:15:00,5.784,CONDITION_3,5.877,5.877,6.53,6.53,6.53
67,2026-03-25 16:30:00,5.04,CONDITION_3,5.121,5.121,5.69,5.69,5.69
68,2026-03-25 16:45:00,4.389,CONDITION_3,4.428,4.428,4.92,4.92,4.92
69,2026-03-25 17:00:00,3.648,CONDITION_3,3.681,3.681,4.09,4.09,4.09
70,2026-03-25 17:15:00,2.917,CONDITION_3,2.943,2.943,3.27,3.27,3.27
71,2026-03-25 17:30:00,2.147,CONDITION_3,2.169,2.169,2.41,2.41,2.41
72,2026-03-25 17:45:00,1.43,CONDITION_3,1.44,1.44,1.6,1.6,1.6
73,2026-03-25 18:00:00,0.653,CONDITION_3,0.673,0.673,0.88,0.88,0.88
74,2026-03-25 18:15:00,0.223,CONDITION_3,0.23,0.23,0.3,0.3,0.3
75,2026-03-25 18:30:00,0.0,CONDITION_3,0.0,0.0,0.0,0.0,0.0
76,2026-03-25 18:45:00,0.0,SUNSET_CLAMP,0.0,0.0,0.0,0.0,0.0
77,2026-03-25 19:00:00,0.0,SUNSET_CLAMP,0.0,0.0,0.0,0.0,0.0
78,2026-03-25 19:15:00,0.0,SUNSET_CLAMP,0.0,0.0,0.0,0.0,0.0
79,2026-03-25 19:30:00,0.0,SUNSET_CLAMP,0.0,0.0,0.0,0.0,0.0
80,2026-03-25 19:45:00,0.0,SUNSET_CLAMP,0.0,0.0,0.0,0.0,0.0
81,2026-03-25 20:00:00,0.0,SUNSET_CLAMP,0.0,0.0,0.0,0.0,0.0
82,2026-03-25 20:15:00,0.0,SUNSET_CLAMP,0.0,0.0,0.0,0.0,0.0
83,2026-03-25 20:30:00,0.0,SUNSET_CLAMP,0.0,0.0,0.0,0.0,0.0
84,2026-03-25 20:45:00,0.0,SUNSET_CLAMP,0.0,0.0,0.0,0.0,0.0
85,2026-03-25 21:00:00,0.0,SUNSET_CLAMP,0.0,0.0,0.0,0.0,0.0
86,2026-03-25 21:15:00,0.0,SUNSET_CLAMP,0.0,0.0,0.0,0.0,0.0
87,2026-03-25 21:30:00,0.0,SUNSET_CLAMP,0.0,0.0,0.0,0.0,0.0
88,2026-03-25 21:45:00,0.0,SUNSET_CLAMP,0.0,0.0,0.0,0.0,0.0
89,2026-03-25 22:00:00,0.0,SUNSET_CLAMP,0.0,0.0,0.0,0.0,0.0
90,2026-03-25 22:15:00,0.0,SUNSET_CLAMP,0.0,0.0,0.0,0.0,0.0
91,2026-03-25 22:30:00,0.0,SUNSET_CLAMP,0.0,0.0,0.0,0.0,0.0
92,2026-03-25 22:45:00,0.0,SUNSET_CLAMP,0.0,0.0,0.0,0.0,0.0
93,2026-03-25 23:00:00,0.0,SUNSET_CLAMP,0.0,0.0,0.0,0.0,0.0
94,2026-03-25 23:15:00,0.0,SUNSET_CLAMP,0.0,0.0,0.0,0.0,0.0
95,2026-03-25 23:30:00,0.0,SUNSET_CLAMP,0.0,0.0,0.0,0.0,0.0
96,2026-03-25 23:45:00,0.0,SUNSET_CLAMP,0.0,0.0,0.0,0.0,0.0
