TYPE:,REG,,
DATE:,2026-03-07,,
REVISION:,5,,
REASON:,NA,,
Block,Block Interval,GLOBUS STEEL N POWER,
,,Availability,Forecast
1,00:00-00:15,20,0
2,00:15-00:30,20,0
3,00:30-00:45,20,0
4,00:45-01:00,20,0
5,01:00-01:15,20,0
6,01:15-01:30,20,0
7,01:30-01:45,20,0
8,01:45-02:00,20,0
9,02:00-02:15,20,0
10,02:15-02:30,20,0
11,02:30-02:45,20,0
12,02:45-03:00,20,0
13,03:00-03:15,20,0
14,03:15-03:30,20,0
15,03:30-03:45,20,0
16,03:45-04:00,20,0
17,04:00-04:15,20,0
18,04:15-04:30,20,0
19,04:30-04:45,20,0
20,04:45-05:00,20,0
21,05:00-05:15,20,0
22,05:15-05:30,20,0
23,05:30-05:45,20,0
24,05:45-06:00,20,0
25,06:00-06:15,20,0
26,06:15-06:30,20,0
27,06:30-06:45,20,0
28,06:45-07:00,20,0
29,07:00-07:15,20,0
30,07:15-07:30,20,0
31,07:30-07:45,20,0
32,07:45-08:00,20,1.852
33,08:00-08:15,20,1.76
34,08:15-08:30,20,2.175
35,08:30-08:45,20,3.629
36,08:45-09:00,20,3.313
37,09:00-09:15,20,3.69
38,09:15-09:30,20,5.237
39,09:30-09:45,20,5.612
40,09:45-10:00,20,5.934
41,10:00-10:15,20,6.207
42,10:15-10:30,20,6.418
43,10:30-10:45,20,6.639
44,10:45-11:00,20,6.773
45,11:00-11:15,20,6.879
46,11:15-11:30,20,6.963
47,11:30-11:45,20,7.034
48,11:45-12:00,20,7.092
49,12:00-12:15,20,7.138
50,12:15-12:30,20,7.038
51,12:30-12:45,20,7.044
52,12:45-13:00,20,6.926
53,13:00-13:15,20,6.785
54,13:15-13:30,20,6.726
55,13:30-13:45,20,6.659
56,13:45-14:00,20,6.451
57,14:00-14:15,20,6.229
58,14:15-14:30,20,6.064
59,14:30-14:45,20,5.924
60,14:45-15:00,20,5.767
61,15:00-15:15,20,5.598
62,15:15-15:30,20,5.383
63,15:30-15:45,20,5.164
64,15:45-16:00,20,4.88
65,16:00-16:15,20,4.537
66,16:15-16:30,20,5.5
67,16:30-16:45,20,4.928
68,16:45-17:00,20,3.351
69,17:00-17:15,20,2.913
70,17:15-17:30,20,2.341
71,17:30-17:45,20,1.857
72,17:45-18:00,20,1.33
73,18:00-18:15,20,0.816
74,18:15-18:30,20,0.115
75,18:30-18:45,20,0
76,18:45-19:00,20,0
77,19:00-19:15,20,0
78,19:15-19:30,20,0
79,19:30-19:45,20,0
80,19:45-20:00,20,0
81,20:00-20:15,20,0
82,20:15-20:30,20,0
83,20:30-20:45,20,0
84,20:45-21:00,20,0
85,21:00-21:15,20,0
86,21:15-21:30,20,0
87,21:30-21:45,20,0
88,21:45-22:00,20,0
89,22:00-22:15,20,0
90,22:15-22:30,20,0
91,22:30-22:45,20,0
92,22:45-23:00,20,0
93,23:00-23:15,20,0
94,23:15-23:30,20,0
95,23:30-23:45,20,0
96,23:45-00:00,20,0
