Schedule Template for MH_VEDANJAY and revision INTRADAY
,Scheduling entity,MH_VEDANJAY
,Date,2026-03-15
,Revision No,INTRADAY
""
POS Name,VSNL Dighi 220kV,VSNL Dighi 220kV,VSNL Dighi 220kV
Down Stream Name,,,VSNL Dighi 220kV
Energy Type,,,SOLAR
Contract ID,,,CONTRACT21424
Contract Type,,,MTOA
Exchange Type,,,NA
Transaction Type,INTRA,INTRA,INTRA
RE Generator Name,,,VSNL Dighi 220kV
Path,,,A-B
Buyer Name,,,OA-MSEDCL
STU Name,,,VSNL Dighi 220kV
Approval Number,,,VSNLDighi/S/03/26/OA-MSEDCL
Capacity,4,4,4
Block,Declared Forecast,Intra Avc,Schedule
1,0.0,4.0,0.0
2,0.0,4.0,0.0
3,0.0,4.0,0.0
4,0.0,4.0,0.0
5,0.0,4.0,0.0
6,0.0,4.0,0.0
7,0.0,4.0,0.0
8,0.0,4.0,0.0
9,0.0,4.0,0.0
10,0.0,4.0,0.0
11,0.0,4.0,0.0
12,0.0,4.0,0.0
13,0.0,4.0,0.0
14,0.0,4.0,0.0
15,0.0,4.0,0.0
16,0.0,4.0,0.0
17,0.0,4.0,0.0
18,0.0,4.0,0.0
19,0.0,4.0,0.0
20,0.0,4.0,0.0
21,0.0,4.0,0.0
22,0.0,4.0,0.0
23,0.0,4.0,0.0
24,0.0,4.0,0.0
25,0.0,4.0,0.0
26,0.0,4.0,0.0
27,0.0,4.0,0.0
28,0.034,4.0,0.034
29,0.177,4.0,0.177
30,0.295,4.0,0.295
31,0.451,4.0,0.451
32,0.601,4.0,0.601
33,0.891,4.0,0.891
34,1.088,4.0,1.088
35,1.272,4.0,1.272
36,1.448,4.0,1.448
37,1.632,4.0,1.632
38,1.809,4.0,1.809
39,1.952,4.0,1.952
40,2.094,4.0,2.094
41,2.217,4.0,2.217
42,2.319,4.0,2.319
43,2.428,4.0,2.428
44,2.523,4.0,2.523
45,2.604,4.0,2.604
46,2.679,4.0,2.679
47,2.734,4.0,2.734
48,2.768,4.0,2.768
49,2.802,4.0,2.802
50,2.815,4.0,2.815
51,2.815,4.0,2.815
52,2.822,4.0,2.822
53,2.802,4.0,2.802
54,2.774,4.0,2.774
55,2.693,4.0,2.693
56,2.604,4.0,2.604
57,2.502,4.0,2.502
58,2.394,4.0,2.394
59,2.298,4.0,2.298
60,2.19,4.0,2.19
61,2.081,4.0,2.081
62,1.958,4.0,1.958
63,1.788,4.0,1.788
64,1.612,4.0,1.612
65,1.428,4.0,1.428
66,1.231,4.0,1.231
67,1.088,4.0,1.088
68,0.938,4.0,0.938
69,0.796,4.0,0.796
70,0.646,4.0,0.646
71,0.496,4.0,0.496
72,0.347,4.0,0.347
73,0.179,4.0,0.179
74,0.081,4.0,0.081
75,0.0,4.0,0.0
76,0.0,4.0,0.0
77,0.0,4.0,0.0
78,0.0,4.0,0.0
79,0.0,4.0,0.0
80,0.0,4.0,0.0
81,0.0,4.0,0.0
82,0.0,4.0,0.0
83,0.0,4.0,0.0
84,0.0,4.0,0.0
85,0.0,4.0,0.0
86,0.0,4.0,0.0
87,0.0,4.0,0.0
88,0.0,4.0,0.0
89,0.0,4.0,0.0
90,0.0,4.0,0.0
91,0.0,4.0,0.0
92,0.0,4.0,0.0
93,0.0,4.0,0.0
94,0.0,4.0,0.0
95,0.0,4.0,0.0
96,0.0,4.0,0.0
