Schedule Template for MH_VEDANJAY and revision INTRADAY
,Scheduling entity,MH_VEDANJAY
,Date,2026-03-18
,Revision No,INTRADAY
""
POS Name,VSNL Dighi 220kV,VSNL Dighi 220kV,VSNL Dighi 220kV
Down Stream Name,,,VSNL Dighi 220kV
Energy Type,,,SOLAR
Contract ID,,,CONTRACT21424
Contract Type,,,MTOA
Exchange Type,,,NA
Transaction Type,INTRA,INTRA,INTRA
RE Generator Name,,,VSNL Dighi 220kV
Path,,,A-B
Buyer Name,,,OA-MSEDCL
STU Name,,,VSNL Dighi 220kV
Approval Number,,,VSNLDighi/S/03/26/OA-MSEDCL
Capacity,20,20,20
Block,Declared Forecast,Intra Avc,Schedule
1,0.0,20.0,0.0
2,0.0,20.0,0.0
3,0.0,20.0,0.0
4,0.0,20.0,0.0
5,0.0,20.0,0.0
6,0.0,20.0,0.0
7,0.0,20.0,0.0
8,0.0,20.0,0.0
9,0.0,20.0,0.0
10,0.0,20.0,0.0
11,0.0,20.0,0.0
12,0.0,20.0,0.0
13,0.0,20.0,0.0
14,0.0,20.0,0.0
15,0.0,20.0,0.0
16,0.0,20.0,0.0
17,0.0,20.0,0.0
18,0.0,20.0,0.0
19,0.0,20.0,0.0
20,0.0,20.0,0.0
21,0.0,20.0,0.0
22,0.0,20.0,0.0
23,0.0,20.0,0.0
24,0.0,20.0,0.0
25,0.0,20.0,0.0
26,0.0,20.0,0.0
27,0.0,20.0,0.0
28,0.0,20.0,0.0
29,0.0,20.0,0.0
30,0.0,20.0,0.0
31,2.608,20.0,2.608
32,4.122,20.0,4.122
33,5.023,20.0,5.023
34,6.127,20.0,6.127
35,7.084,20.0,7.084
36,8.087,20.0,8.087
37,9.163,20.0,9.163
38,10.24,20.0,10.24
39,11.316,20.0,11.316
40,12.383,20.0,12.383
41,13.331,20.0,13.331
42,14.159,20.0,14.159
43,14.886,20.0,14.886
44,15.548,20.0,15.548
45,16.036,20.0,16.036
46,16.367,20.0,16.367
47,16.67,20.0,16.67
48,16.891,20.0,16.891
49,17.066,20.0,17.066
50,17.176,20.0,17.176
51,17.066,20.0,17.066
52,16.864,20.0,16.864
53,16.532,20.0,16.532
54,16.072,20.0,16.072
55,15.484,20.0,15.484
56,14.83,20.0,14.83
57,14.131,20.0,14.131
58,13.377,20.0,13.377
59,12.908,20.0,12.908
60,12.374,20.0,12.374
61,11.776,20.0,11.776
62,11.086,20.0,11.086
63,10.286,20.0,10.286
64,9.439,20.0,9.439
65,8.492,20.0,8.492
66,7.443,20.0,7.443
67,6.274,20.0,6.274
68,5.115,20.0,5.115
69,4.057,20.0,4.057
70,3.073,20.0,3.073
71,2.309,20.0,2.309
72,1.337,20.0,1.337
73,0.751,20.0,0.751
74,0.156,20.0,0.156
75,0.0,20.0,0.0
76,0.0,20.0,0.0
77,0.0,20.0,0.0
78,0.0,20.0,0.0
79,0.0,20.0,0.0
80,0.0,20.0,0.0
81,0.0,20.0,0.0
82,0.0,20.0,0.0
83,0.0,20.0,0.0
84,0.0,20.0,0.0
85,0.0,20.0,0.0
86,0.0,20.0,0.0
87,0.0,20.0,0.0
88,0.0,20.0,0.0
89,0.0,20.0,0.0
90,0.0,20.0,0.0
91,0.0,20.0,0.0
92,0.0,20.0,0.0
93,0.0,20.0,0.0
94,0.0,20.0,0.0
95,0.0,20.0,0.0
96,0.0,20.0,0.0
